option_name,directlyNewArrSink,ifNewArrSink,loopNewArrSink,directlyIoSink,ifIoSink,loopIoSink,directlyLockSink,ifLockSink,loopLockSink,directlyThreadSink,ifThreadSink,loopThreadSink,entermonitor,java.io.BufferedInputStream,java.io.BufferedReader,java.io.ByteArrayInputStream,java.io.ByteArrayOutputStream,java.io.DataInputStream,java.io.DataOutput,java.io.DataOutputStream,java.io.File,java.io.FileInputStream,java.io.FileOutputStream,java.io.IOError,java.io.InputStream,java.io.InputStreamReader,java.io.ObjectInputStream,java.io.ObjectOutputStream,java.io.OutputStream,java.io.PrintStream,java.io.PrintWriter,java.io.PushbackInputStream,java.io.Reader,java.lang.Thread,java.lang.Thread$UncaughtExceptionHandler,java.lang.ThreadLocal,java.nio.ByteBuffer,java.nio.channels.FileChannel,java.nio.charset.Charset,java.nio.file.FileSystem,java.nio.file.Files,java.nio.file.Path,java.nio.file.Paths,java.util.concurrent.ArrayBlockingQueue,java.util.concurrent.Callable,java.util.concurrent.ConcurrentHashMap,java.util.concurrent.ConcurrentLinkedQueue,java.util.concurrent.ConcurrentMap,java.util.concurrent.CountDownLatch,java.util.concurrent.ExecutorService,java.util.concurrent.Executors,java.util.concurrent.Future,java.util.concurrent.ScheduledExecutorService,java.util.concurrent.ScheduledThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.TimeUnit,java.util.concurrent.atomic.AtomicBoolean,java.util.concurrent.atomic.AtomicInteger,java.util.concurrent.atomic.AtomicIntegerFieldUpdater,java.util.concurrent.atomic.AtomicLong,java.util.concurrent.atomic.AtomicLongFieldUpdater,java.util.concurrent.atomic.AtomicReference,java.util.concurrent.atomic.AtomicReferenceArray,java.util.concurrent.atomic.AtomicReferenceFieldUpdater,java.util.concurrent.locks.Lock,java.util.concurrent.locks.LockSupport,java.util.concurrent.locks.ReadWriteLock,java.util.concurrent.locks.ReentrantLock,newarray,newmultiarray,org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor,org.apache.cassandra.utils.NoSpamLogger$NoSpamLogStatement,perf_affected
verbosity,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
jobs,5,0,2,17,0,3,0,0,2,3,0,3,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,4,6,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1
pool,2,0,3,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
mode,2,1,0,8,0,0,0,6,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,3,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
entropy,4,3,1,0,0,0,0,18,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1
blockSize,6,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
from,4,0,7,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1
codec,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1
inputName,0,0,3,29,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,3,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1
outputName,6,0,0,18,0,4,0,0,0,2,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,4,4,1,0,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1
transform,5,0,1,7,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
to,2,0,7,5,0,2,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1
checksum,6,0,2,12,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1
skipBlocks,3,0,5,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1
overwrite,9,0,11,13,0,2,0,0,1,2,0,8,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,-1
