"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",149830504,0,68839927,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",131488404,0,550719416,0
"kanzi.entropy.CMPredictor.update(int)",64886888,0,550719416,0
"java.lang.Thread.yield()",61937977,0,110128509,0
"kanzi.entropy.CMPredictor.get()",61604027,0,550719416,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",20536575,32867,762,1
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",19949789,0,763,0
"kanzi.transform.LZCodec$LZPCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",19745500,0,1526,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",16904056,0,150326544,0
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",9158701,0,763,0
"kanzi.transform.TextCodec.isText(byte)",8847314,15240674,-669101,100005616
"java.util.concurrent.atomic.AtomicInteger.get()",8746146,0,110130188,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",6754683,0,763,0
"kanzi.transform.LZCodec$LZPCodec.findMatch(byte[ ], int, int, int)",5087606,0,7984882,0
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",4267187,2221062,1182535,1170187
"kanzi.transform.TextCodec.isLowerCase(byte)",4011559,7055582,-669101,100005616
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",2723537,0,25027452,0
"kanzi.util.hash.XXHash32.round(int, int)",2622095,0,25000000,0
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",2207346,3320133,10201273,30272617
"kanzi.entropy.BinaryEntropyEncoder.flush()",1922389,0,7572068,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1154235,0,10016010,0
"kanzi.transform.TextCodec$TextCodec1.reset(int)",866717,0,761,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",816201,0,7572068,0
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",750421,0,4724881,0
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",746977,683166,762,1
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",652504,1403889,978904,1382349
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",544489,39947,4931584,524288
"kanzi.transform.TextCodec.isDelimiter(byte)",407164,1082185,-103594,13861126
"kanzi.transform.DivSufSort$Stack.pop()",376399,404963,1825449,3947293
"kanzi.transform.DivSufSort.ssIlg(int)",181233,89948,1083467,879443
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",168778,147014,762,1
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",154288,197945,337125,895009
"kanzi.transform.DivSufSort.trIlg(int)",148813,287614,635948,2923260
"kanzi.transform.DivSufSort.trSort(int, int)",144730,232047,762,1
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",95003,243889,63070,2539457
"kanzi.entropy.CMPredictor.<init>()",71783,0,763,0
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",61469,600885,587408,2977117
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",36743,63508,89553,447834
"kanzi.transform.DivSufSort$TRBudget.check(int)",32154,109845,-30741,1121148
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",31828,73526,161628,543208
"kanzi.transform.DivSufSort.<init>()",29556,0,763,0
"java.util.Arrays.fill(int[ ], int)",26333,0,195481,0
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",25158,84152,762,1
"kanzi.transform.DivSufSort$StackElement.<init>(kanzi.transform.DivSufSort$1)",21942,0,85456,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",21134,0,5,0
"kanzi.transform.DivSufSort$Stack.<init>(int)",13868,0,2289,0
"kanzi.transform.DivSufSort.reset()",11307,0,763,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",11259,0,153,0
"kanzi.transform.DivSufSort$StackElement.<init>()",9770,0,85456,0
"kanzi.transform.BWTBlockCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",6140,0,763,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",5534,0,763,0
"java.lang.Short.valueOf(short)",3553,0,3052,0
