"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",363078,38273,0,1028
"kanzi.transform.TextCodec.isLowerCase(byte)",119005,7055582,0,100005616
"kanzi.transform.TextCodec.isText(byte)",94499,15240674,0,100005616
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",91303,1683686,0,1
"kanzi.transform.TextCodec.isDelimiter(byte)",67458,1082185,0,13861126
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",49329,2831974,-1,1028
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",44340,878841,-1,1029
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",42578,2462807,-40744,33678300
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",26310,844488,-39307,5283283
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",24386,1350314,14335,12697965
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",16426,368975,-39307,5283283
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",16380,1290470,-625,535262
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",15942,462712,2845,4625539
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",15517,1039165,14335,12697965
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",6698,2221062,-1267,1170187
"java.io.OutputStream.close()",6294,32813,0,1
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",5635,956931,0,1
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",5437,43035,0,1
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",1929,39947,0,524288
"java.io.PrintStream.println(java.lang.String)",1065,0,28,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",761,0,2,0
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",356,63508,-688,447834
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",23,246319,0,1
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",-355,600885,-11983,2977117
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-920,44027,-98,335626
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",-1213,84152,0,1
"kanzi.transform.DivSufSort.trIlg(int)",-2072,287614,-11643,2923260
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-2391,74951,0,1
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",-2459,147014,0,1
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-2955,98096,-672,437100
"kanzi.transform.DivSufSort.trSort(int, int)",-4178,232047,0,1
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-4804,111359,-635,535018
"kanzi.transform.DivSufSort$TRBudget.check(int)",-5628,109845,-8588,1121148
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",-5881,197945,-753,895009
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-6540,73526,-326,543208
"kanzi.transform.DivSufSort.ssIlg(int)",-7841,89948,-894,879443
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-8641,397993,-39330,5266221
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",-11767,243889,-4935,2539457
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",-12563,683166,0,1
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-17725,934500,2,2169
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-20309,1403889,-2758,1382349
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-26245,13464763,0,1
"kanzi.transform.DivSufSort$Stack.pop()",-33691,404963,-7693,3947293
"kanzi.transform.DivSufSort.swapInSA(int, int)",-115575,4841531,-137880,62866167
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",-164200,3320133,-21081,30272617
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",-191799,7787177,-2,23318
