"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.FPAQEncoder.encode(byte[ ], int, int)",24496573,0,1,0
"kanzi.entropy.FPAQEncoder.encodeBit(int, int)",22546518,0,292453912,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",13627288,0,1,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",4114719,0,1,0
"kanzi.util.hash.XXHash32.round(int, int)",1826659,0,25000000,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1711649,0,25000000,0
"kanzi.transform.DivSufSort.swapInSA(int, int)",1445283,4841531,18193642,62866167
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",1252213,7787177,-11495,23318
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",1232855,3320133,7978022,30272617
"kanzi.transform.SRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",1157354,0,1,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1034061,0,12721229,0
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",954378,934500,1228,2169
"kanzi.entropy.FPAQEncoder.flush()",823059,0,5307805,0
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",712610,1290470,255568,535262
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",474489,0,4629866,0
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",429783,1683686,0,1
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",382132,0,5307805,0
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",319624,1403889,-90099,1382349
"kanzi.transform.TextCodec$TextCodec1.reset(int)",122347,0,1,0
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",111717,600885,551944,2977117
"kanzi.transform.TextCodec.isLowerCase(byte)",109030,7055582,0,100005616
"kanzi.transform.TextCodec.isDelimiter(byte)",82541,1082185,0,13861126
"java.io.OutputStream.close()",68916,32813,0,1
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",67498,243889,638848,2539457
"kanzi.transform.DivSufSort.trIlg(int)",49202,287614,497087,2923260
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",45009,111359,255559,535018
"kanzi.transform.DivSufSort$TRBudget.check(int)",36710,109845,407063,1121148
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",34161,683166,0,1
"kanzi.transform.DivSufSort$Stack.pop()",30440,404963,538482,3947293
"kanzi.transform.TextCodec$TextCodec1.expandDictionary()",24779,0,1,0
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",19194,197945,94433,895009
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",18617,1350314,23264,12697965
"kanzi.transform.DivSufSort.ssIlg(int)",13888,89948,73017,879443
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",13558,44027,150844,335626
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",10565,84152,0,1
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",9536,63508,51423,447834
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",4230,73526,65192,543208
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",3409,43035,0,1
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",731,0,2,0
"java.lang.Integer.numberOfLeadingZeros(int)",636,0,6406,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",616,0,1,0
"kanzi.transform.DivSufSort.reset()",603,0,1,0
"kanzi.transform.TextCodec.isUpperCase(byte)",590,0,5487,0
"kanzi.transform.TransformFactory.getTypeToken(java.lang.String)",503,0,8,0
"kanzi.transform.DivSufSort.<init>()",448,0,1,0
"java.lang.Character.valueOf(char)",419,0,1,0
"java.lang.String.split(java.lang.String)",377,0,3,0
"kanzi.Global.positiveOrNull(int)",356,0,3895,0
"kanzi.transform.TextCodec.<clinit>()",348,0,1,0
"java.lang.String.equals(java.lang.Object)",320,0,350,0
"kanzi.transform.DivSufSort$Stack.<init>(int)",276,0,3,0
"java.lang.Math.min(int, int)",269,0,1541,0
"kanzi.transform.DivSufSort.trCopy(int, int, int, int, int, int)",249,0,124,0
"java.lang.String.valueOf(java.lang.Object)",222,0,9,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",126,39947,0,524288
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",-451,147014,0,1
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-488,246319,0,1
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-4796,98096,51612,437100
"kanzi.transform.DivSufSort.trSort(int, int)",-22942,232047,0,1
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-25162,74951,0,1
"kanzi.transform.TextCodec.isText(byte)",-31715,15240674,0,100005616
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",-38273,38273,-1028,1028
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",-50981,2221062,-45379,1170187
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",-172805,368975,-2629345,5283283
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-200986,397993,-2612306,5266221
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",-414903,844488,-2629345,5283283
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-433112,878841,-1019,1029
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-462712,462712,-4625539,4625539
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-956931,956931,-1,1
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-1039165,1039165,-12697965,12697965
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",-2462807,2462807,-33678300,33678300
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",-2831974,2831974,-1028,1028
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-13464763,13464763,-1,1
