"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"java.lang.Thread.yield()",23689957,0,43623568,0
"kanzi.transform.LZCodec$LZXCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",18196017,0,6104,0
"kanzi.transform.LZCodec$LZXCodec.hash(byte[ ], int)",16271665,0,73445850,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",7354414,32867,6103,1
"kanzi.Memory$LittleEndian.readLong64(byte[ ], int)",7129611,0,73445850,0
"kanzi.transform.TextCodec.isText(byte)",6092782,15240674,523156,100005616
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",5886796,0,6104,0
"kanzi.transform.TextCodec$TextCodec2.reset(int)",5468789,30492,6087,1
"java.lang.Math.max(int, int)",5032519,0,45913035,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",4125899,39947,43115520,524288
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",3973506,13464763,6103,1
"java.util.concurrent.atomic.AtomicInteger.get()",3016225,0,43636997,0
"kanzi.transform.TextCodec.isLowerCase(byte)",2727047,7055582,523156,100005616
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",2372733,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",2297794,0,25000000,0
"kanzi.transform.LZCodec$LZXCodec.findMatch(byte[ ], int, int, int)",2107297,0,6168020,0
"kanzi.bitstream.DefaultOutputBitStream.writeBits(long, int)",2096582,17816,14953013,211095
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",1939891,0,18040626,0
"kanzi.entropy.HuffmanEncoder.encode(byte[ ], int, int)",1736067,0,6104,0
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",1325577,844488,5786361,5283283
"kanzi.transform.LZCodec$LZXCodec.emitLiterals(byte[ ], int, byte[ ], int, int)",1142918,0,3112411,0
"java.lang.Math.min(int, int)",1060206,0,9901564,0
"kanzi.transform.LZCodec$LZXCodec.arrayChunkCopy(byte[ ], int, byte[ ], int)",671738,0,6875003,0
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",635540,368975,5786361,5283283
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",611714,147014,6103,1
"kanzi.transform.TextCodec.isDelimiter(byte)",336390,1082185,-38212,13861126
"kanzi.entropy.ExpGolombEncoder.encodeByte(byte)",318371,0,1505268,0
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",205298,462712,93547,4625539
"kanzi.entropy.HuffmanEncoder.updateFrequencies(int[ ])",199954,0,6104,0
