"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.transform.ROLZCodec$ROLZEncoder.encode9Bits(int)",81403229,0,52622957,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBit(int)",66930247,0,493260853,0
"kanzi.transform.ROLZCodec$ROLZCodec2.findMatch(kanzi.SliceByteArray, int)",45011839,0,52586333,0
"java.lang.Thread.yield()",37007560,0,61469130,0
"kanzi.transform.ROLZCodec$ROLZCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",36724143,0,6104,0
"kanzi.transform.ROLZCodec.getKey(byte[ ], int)",15538338,0,52586333,0
"kanzi.transform.ROLZCodec.hash(byte[ ], int)",15512664,0,52586333,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",12569271,32867,6103,1
"kanzi.transform.TextCodec.isText(byte)",12409724,15240674,523156,100005616
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",12101058,0,95183167,0
"kanzi.transform.ROLZCodec$ROLZCodec2.<init>(int, java.util.Map)",11457813,0,6104,0
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",8572187,13464763,6103,1
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",7721855,0,6104,0
"kanzi.transform.TextCodec$TextCodec2.reset(int)",7152114,30492,6087,1
"kanzi.transform.ROLZCodec$ROLZEncoder.setContext(byte)",7046510,0,56547701,0
"kanzi.Memory$LittleEndian.readInt16(byte[ ], int)",6612287,0,52586333,0
"java.lang.Math.min(int, int)",6515592,0,52617840,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",5582265,39947,43115520,524288
"kanzi.transform.TextCodec.isLowerCase(byte)",5495575,7055582,523156,100005616
"java.util.concurrent.atomic.AtomicInteger.get()",5302174,0,61482356,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBits(int, int)",3644546,0,3930848,0
"kanzi.util.hash.XXHash32.round(int, int)",3059819,0,25000000,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",1493265,0,11622024,0
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",1134830,147014,6103,1
"kanzi.transform.ROLZCodec$ROLZEncoder.setMode(int)",1080643,0,7873904,0
"kanzi.transform.ROLZCodec$ROLZEncoder.reset()",1034970,0,6104,0
"kanzi.transform.TextCodec.isDelimiter(byte)",713755,1082185,-38212,13861126
"java.lang.Integer.numberOfTrailingZeros(int)",602100,0,4976954,0
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",438039,878841,11179,1029
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",390337,462712,93547,4625539
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",326666,844488,-179552,5283283
"kanzi.transform.ROLZCodec$ROLZEncoder.<init>(int, int, kanzi.SliceByteArray)",322510,0,6104,0
"java.io.PrintStream.println(java.lang.String)",278185,0,24440,0
"java.io.PrintStream.println(java.lang.Object)",176439,0,6106,0
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",171653,368975,-179552,5283283
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",135984,397993,-174597,5266221
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",106447,0,6,0
"kanzi.Event.toString()",105896,0,24418,0
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",95136,1039165,-3598340,12697965
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",88492,0,24418,0
"java.lang.StringBuilder.append(java.lang.String)",44543,0,213701,0
"kanzi.transform.Sequence.getMaxEncodedLength(int)",37614,0,12208,0
"kanzi.SliceByteArray.<init>(byte[ ], int, int)",37089,0,6106,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",31752,0,1018,0
"java.lang.Integer.valueOf(int)",31191,0,97673,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",27805,0,42730,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",27396,0,6104,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",25442,0,36632,0
"kanzi.transform.FSDCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",22326,0,6104,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean)",22125,0,24418,0
"kanzi.transform.ROLZCodec.<init>(java.util.Map)",16775,0,6104,0
"java.lang.StringBuilder.<init>(int)",16172,0,24418,0
"java.lang.StringBuilder.append(long)",15912,0,48839,0
"kanzi.transform.TextCodec.getMaxEncodedLength(int)",15828,0,12208,0
"kanzi.Event.getId()",15356,0,48834,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",13559,0,6105,0
"kanzi.Global.log2(int)",13448,0,24400,0
"kanzi.Event.getType()",12864,0,85468,0
"kanzi.io.CompressedOutputStream.notifyListeners(kanzi.Listener[ ], kanzi.Event)",12047,0,24416,0
"kanzi.transform.TextCodec$TextCodec2.getMaxEncodedLength(int)",12026,0,24400,0
"java.lang.String.contains(java.lang.CharSequence)",11744,0,6104,0
"java.lang.Long.valueOf(long)",11215,0,54938,0
"kanzi.Event.getHash()",11195,0,36624,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean, long)",9617,0,24418,0
