"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",107455535,0,75891744,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",92765990,0,607133952,0
"kanzi.entropy.CMPredictor.update(int)",45735535,0,607133952,0
"kanzi.entropy.CMPredictor.get()",43398601,0,607133952,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",12471056,0,6104,0
"kanzi.transform.LZCodec$LZPCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",9235972,0,12208,0
"java.lang.Thread.yield()",8091470,0,15518912,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",7313864,0,103217210,0
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",6371689,0,6104,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",4270061,0,6104,0
"kanzi.transform.TextCodec$TextCodec1.reset(int)",4045871,0,6072,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",2931836,39947,43000832,524288
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",2479555,32867,6103,1
"kanzi.transform.LZCodec$LZPCodec.findMatch(byte[ ], int, int, int)",2385212,0,6143684,0
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",2256171,2221062,1912169,1170187
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1648273,0,25025472,0
"kanzi.util.hash.XXHash32.round(int, int)",1603767,0,25000000,0
"kanzi.entropy.BinaryEntropyEncoder.flush()",1402979,0,9132056,0
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",1257640,683166,6103,1
"java.util.concurrent.atomic.AtomicInteger.get()",1034682,0,15533155,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",632460,0,9132056,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",628146,0,9027099,0
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",485208,0,4666537,0
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",440498,147014,6103,1
"kanzi.entropy.CMPredictor.<init>()",386328,0,6104,0
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",334385,3320133,11861195,30272617
"kanzi.transform.DivSufSort.ssSort(int, int, int, int, int, int, int, boolean)",332086,6502,2008519,21149
"kanzi.transform.DivSufSort.ssIlg(int)",164729,89948,1916424,879443
"java.util.Arrays.fill(int[ ], int)",149849,0,1564659,0
"kanzi.transform.DivSufSort.<init>()",144766,0,6104,0
"kanzi.transform.DivSufSort$Stack.pop()",136431,404963,1897542,3947293
"kanzi.transform.DivSufSort$StackElement.<init>(kanzi.transform.DivSufSort$1)",108540,0,683648,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",107209,0,3,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",87841,38273,5076,1028
"kanzi.transform.DivSufSort$Stack.<init>(int)",69278,0,18312,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",63595,0,6104,0
"kanzi.transform.DivSufSort.reset()",60641,0,6104,0
"kanzi.Global.log2_1024(int)",55014,0,690309,0
"kanzi.transform.DivSufSort$StackElement.<init>()",47780,0,683648,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",39701,0,2035,0
"java.util.HashMap.<init>(java.util.Map)",19044,0,6104,0
"kanzi.transform.BWTBlockCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",15888,0,6104,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",15712,0,6104,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",14101,0,6105,0
"kanzi.io.CompressedOutputStream$EncodingTask.call()",13316,0,6104,0
"kanzi.transform.Sequence.getMaxEncodedLength(int)",10729,0,12208,0
"java.lang.Integer.numberOfLeadingZeros(int)",10691,0,137854,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",9824,0,42721,0
"kanzi.transform.TextCodec$TextCodec1.<init>(java.util.Map)",9401,0,6104,0
"java.lang.Integer.valueOf(int)",8657,0,30529,0
"kanzi.transform.LZCodec.<init>(java.util.Map)",8618,0,12208,0
"java.lang.Short.valueOf(short)",8004,0,24416,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",7489,0,42730,0
"kanzi.transform.BWT.getPrimaryIndex(int)",7346,0,97664,0
"kanzi.Global.log2(int)",7149,0,24384,0
"kanzi.transform.BWT.<init>(java.util.Map)",5795,0,6104,0
"kanzi.transform.LZCodec.getMaxEncodedLength(int)",5788,0,24416,0
"java.lang.Math.min(int, int)",5633,0,38596,0
"kanzi.io.CompressedOutputStream$EncodingTask._get_skipBlocks(java.util.Map)",5064,0,6104,0
"kanzi.transform.DivSufSort.trIlg(int)",3542,287614,181068,2923260
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",3297,84152,6103,1
"kanzi.transform.DivSufSort.trSort(int, int)",-16430,232047,6103,1
"kanzi.transform.TextCodec.isText(byte)",-22638,15240674,-232633,100005616
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-22767,73526,3912,543208
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-24331,74951,6103,1
"kanzi.transform.DivSufSort$TRBudget.check(int)",-24842,109845,-205425,1121148
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",-29978,63508,-178919,447834
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-37817,44027,-276993,335626
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",-39910,197945,-79931,895009
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-43035,43035,-1,1
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-78378,98096,-315911,437100
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-94399,111359,-455267,535018
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",-95679,243889,-852994,2539457
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",-98066,368975,-1260088,5283283
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-130808,397993,-1265354,5266221
"kanzi.transform.TextCodec.isDelimiter(byte)",-163651,1082185,-129608,13861126
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",-203237,600885,121216,2977117
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-228571,878841,11179,1029
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-246319,246319,-1,1
"kanzi.transform.TextCodec.isLowerCase(byte)",-249839,7055582,-232633,100005616
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",-258677,844488,-1260088,5283283
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-266039,1403889,746355,1382349
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-462712,462712,-4625539,4625539
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",-591068,1350314,-3670992,12697965
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",-839796,1683686,6103,1
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-934500,934500,-2169,2169
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-956931,956931,-1,1
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-1039165,1039165,-12697965,12697965
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",-1200200,1290470,-455246,535262
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",-2462807,2462807,-33678300,33678300
