"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.TPAQPredictor.update(int)",367982500,0,609017952,0
"java.lang.Thread.yield()",323551877,0,615759229,0
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",143776711,0,76127244,0
"kanzi.entropy.TPAQPredictor$Mixer.get(int, int, int, int, int, int, int, int)",136394816,0,609017952,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",125702455,0,609017952,0
"kanzi.Global.squash(int)",124782274,3011,609420816,3895
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",94347070,32867,6103,1
"kanzi.entropy.LogisticAdaptiveProbMap.get(int, int, int)",75112471,0,609676144,0
"kanzi.entropy.TPAQPredictor$Mixer.update(int)",64539660,0,609017952,0
"kanzi.Global.positiveOrNull(int)",54884638,0,601466326,0
"kanzi.entropy.LogisticAdaptiveProbMap.<init>(int, int)",53937671,0,12208,0
"kanzi.entropy.TPAQPredictor.get()",53597870,0,609017952,0
"java.lang.System.arraycopy(java.lang.Object, int, java.lang.Object, int, int)",42817081,15822,401611573,1818
"java.util.concurrent.atomic.AtomicInteger.get()",38839028,0,615772963,0
"kanzi.entropy.TPAQPredictor.createContext(int, int)",23014661,0,228381732,0
"kanzi.entropy.TPAQPredictor.<init>(java.util.Map)",21915147,0,6104,0
"kanzi.entropy.TPAQPredictor.getMatchContextPred()",18246035,0,187135923,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",18143184,0,6104,0
"kanzi.entropy.TPAQPredictor.findMatch()",9485182,0,76127244,0
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",8625725,0,6104,0
"kanzi.entropy.TPAQPredictor.hash(int, int)",7737427,0,76127244,0
"kanzi.transform.TextCodec.isText(byte)",6623163,15240674,-928865,100005616
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",5815814,0,6104,0
"kanzi.transform.TextCodec$TextCodec1.reset(int)",5373987,0,6026,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",4006656,39947,42671104,524288
"kanzi.transform.TextCodec.isLowerCase(byte)",3177902,7055582,-928865,100005616
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",2308717,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",2248665,0,25000000,0
"kanzi.entropy.BinaryEntropyEncoder.flush()",1845658,0,8649217,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1032066,0,9302725,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",924038,0,8649217,0
"kanzi.transform.RLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",706733,0,6104,0
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",705690,0,4684537,0
"kanzi.entropy.TPAQPredictor$Mixer.<init>()",634952,0,6250496,0
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",491105,147014,6103,1
"kanzi.transform.TextCodec.isDelimiter(byte)",294330,1082185,-158747,13861126
"kanzi.transform.X86Codec.isExeBlock(byte[ ], int, int, int)",119645,0,6104,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",114433,0,4,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",69030,38273,5076,1028
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",42579,0,1526,0
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",39607,0,24418,0
"java.lang.Integer.valueOf(int)",29418,0,67153,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",26024,0,6104,0
"kanzi.transform.RLT.emitRunLength(byte[ ], int, int, int, byte, byte)",18162,0,177019,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean)",14659,0,24418,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",13923,0,36570,0
"kanzi.io.CompressedOutputStream.notifyListeners(kanzi.Listener[ ], kanzi.Event)",12986,0,24416,0
"kanzi.io.CompressedOutputStream$EncodingTask.call()",12589,0,12208,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",12196,0,54938,0
"kanzi.transform.Sequence.getMaxEncodedLength(int)",12154,0,12208,0
"java.util.HashMap.<init>(java.util.Map)",11206,0,6104,0
"kanzi.transform.TextCodec$TextCodec1.<init>(java.util.Map)",10926,0,6104,0
"java.lang.Integer.intValue()",10398,0,24424,0
"java.util.Map.remove(java.lang.Object)",8970,0,6114,0
"kanzi.transform.TextCodec.getMaxEncodedLength(int)",8788,0,12208,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean, long)",8757,0,24418,0
"kanzi.Global.log2(int)",8033,0,24338,0
"java.lang.Math.min(int, int)",7898,0,50203,0
"java.lang.System.nanoTime()",7421,0,24422,0
"kanzi.entropy.BinaryEntropyEncoder.<init>(kanzi.OutputBitStream, kanzi.Predictor)",6923,0,6104,0
"kanzi.Event.getType()",6798,0,61050,0
"kanzi.bitstream.DefaultOutputBitStream.close()",6751,0,6105,0
"java.lang.String.equals(java.lang.Object)",6670,0,30866,0
"kanzi.Event.getId()",5944,0,24418,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",5808,0,6105,0
"java.util.Map.get(java.lang.Object)",5803,0,18321,0
"kanzi.transform.X86Codec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",5795,0,6104,0
"kanzi.transform.TextCodec$TextCodec1.getMaxEncodedLength(int)",4843,0,24338,0
"kanzi.io.CompressedOutputStream$EncodingTask._get_skipBlocks(java.util.Map)",4683,0,6104,0
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",4536,0,24550,0
"kanzi.entropy.BinaryEntropyEncoder.dispose()",4226,0,6104,0
"kanzi.transform.TextCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",4068,0,6104,0
"java.lang.Integer.numberOfLeadingZeros(int)",3961,0,24338,0
"kanzi.Event.getTime()",3778,0,24416,0
"java.lang.Boolean.booleanValue()",3776,0,12212,0
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-37882,43035,0,1
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-44027,44027,-335626,335626
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",-60969,368975,-1469220,5283283
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",-63508,63508,-447834,447834
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-73526,73526,-543208,543208
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-74951,74951,-1,1
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",-84152,84152,-1,1
"kanzi.transform.DivSufSort.ssIlg(int)",-89948,89948,-879443,879443
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-93854,397993,-1474482,5266221
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-98096,98096,-437100,437100
"kanzi.transform.DivSufSort$TRBudget.check(int)",-109845,109845,-1121148,1121148
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-111359,111359,-535018,535018
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",-119369,1350314,-3395448,12697965
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-125819,878841,11179,1029
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",-175782,844488,-1469220,5283283
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",-197945,197945,-895009,895009
"kanzi.transform.DivSufSort.trSort(int, int)",-232047,232047,-1,1
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",-243889,243889,-2539457,2539457
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-246319,246319,-1,1
"kanzi.transform.DivSufSort.trIlg(int)",-287614,287614,-2923260,2923260
"kanzi.transform.DivSufSort$Stack.pop()",-404963,404963,-3947293,3947293
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-462712,462712,-4625539,4625539
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",-600885,600885,-2977117,2977117
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",-683166,683166,-1,1
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-934500,934500,-2169,2169
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-956931,956931,-1,1
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-1039165,1039165,-12697965,12697965
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",-1290470,1290470,-535262,535262
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-1403889,1403889,-1382349,1382349
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",-1683686,1683686,-1,1
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",-2221062,2221062,-1170187,1170187
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",-2462807,2462807,-33678300,33678300
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",-2831974,2831974,-1028,1028
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",-3320133,3320133,-30272617,30272617
"kanzi.transform.DivSufSort.swapInSA(int, int)",-4841531,4841531,-62866167,62866167
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",-7787177,7787177,-23318,23318
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-13464763,13464763,-1,1
