"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.TPAQPredictor.update(int)",233215192,0,489669552,0
"kanzi.entropy.TPAQPredictor$Mixer.get(int, int, int, int, int, int, int, int)",84278674,0,489669552,0
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",82545455,0,61208694,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",73415335,0,489669552,0
"kanzi.Global.squash(int)",71807259,3011,489669948,3895
"kanzi.entropy.LogisticAdaptiveProbMap.get(int, int, int)",52504826,0,489669738,0
"kanzi.entropy.TPAQPredictor$Mixer.update(int)",38508832,0,489669552,0
"kanzi.entropy.TPAQPredictor.get()",32222460,0,489669552,0
"kanzi.Global.positiveOrNull(int)",32020562,0,470525996,0
"kanzi.entropy.TPAQPredictor.getMatchContextPred()",15691388,0,211266653,0
"java.lang.Thread.yield()",14748549,0,27886295,0
"kanzi.entropy.TPAQPredictor.createContext(int, int)",14654315,0,183626082,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",13053959,0,6,0
"kanzi.entropy.TPAQPredictor.findMatch()",11659055,0,61208694,0
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",5129931,0,6,0
"kanzi.entropy.TPAQPredictor.hash(int, int)",4798830,0,61208694,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",4371450,32867,5,1
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",3974309,0,6,0
"kanzi.entropy.TPAQPredictor.<init>(java.util.Map)",2238480,0,6,0
"java.util.concurrent.atomic.AtomicInteger.get()",1860571,0,27886309,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1607198,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",1573605,0,25000000,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",861514,0,12452377,0
"kanzi.entropy.BinaryEntropyEncoder.flush()",810999,0,5155074,0
"java.io.ByteArrayOutputStream.<init>(int)",691493,31715,5,1
"kanzi.transform.RLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",639736,0,6,0
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",444458,0,4599440,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",378420,0,5155074,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",192665,38273,-1016,1028
"kanzi.transform.X86Codec.isExeBlock(byte[ ], int, int, int)",112941,0,6,0
"kanzi.transform.TextCodec$TextCodec1.reset(int)",85918,0,6,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",68749,0,6,0
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",59076,147014,5,1
"kanzi.entropy.LogisticAdaptiveProbMap.<init>(int, int)",43026,0,12,0
"kanzi.transform.TextCodec$TextCodec1.expandDictionary()",34828,0,6,0
"kanzi.entropy.TPAQPredictor$Mixer.<init>()",28087,0,393216,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",26677,39947,257024,524288
"kanzi.transform.RLT.emitRunLength(byte[ ], int, int, int, byte, byte)",11871,0,177070,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",2058,0,2,0
"kanzi.transform.X86Codec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",1084,0,6,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",1000,0,1,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",670,0,2,0
"kanzi.transform.TextCodec.isUpperCase(byte)",538,0,5487,0
"java.lang.String.split(java.lang.String)",430,0,3,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",417,0,55,0
"java.io.PrintStream.println(java.lang.String)",409,0,7,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",346,0,3,0
"kanzi.transform.TextCodec.<clinit>()",306,0,1,0
"java.lang.Math.min(int, int)",299,0,1571,0
"java.lang.String.equals(java.lang.Object)",272,0,390,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",270,0,56,0
"java.lang.Character.valueOf(char)",241,0,1,0
"kanzi.Global.log2_1024(int)",233,0,1215,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",233,0,6,0
"java.lang.Integer.numberOfLeadingZeros(int)",189,0,1125,0
"kanzi.app.Kanzi.createFileList(java.lang.String, java.util.List)",172,0,1,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",166,0,7,0
"java.util.HashMap.<init>(java.util.Map)",126,0,6,0
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",125,0,1360,0
"java.lang.Integer.valueOf(int)",103,0,51,0
"java.util.Map.keySet()",103,0,1,0
"java.util.Set.iterator()",82,0,1,0
"java.lang.Boolean.valueOf(boolean)",81,0,19,0
"java.lang.String.getBytes()",68,0,4,0
"java.lang.String.toUpperCase()",59,0,17,0
"kanzi.entropy.BinaryEntropyEncoder.<init>(kanzi.OutputBitStream, kanzi.Predictor)",59,0,6,0
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-34830,43035,0,1
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-44027,44027,-335626,335626
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",-63508,63508,-447834,447834
"kanzi.transform.TextCodec.isDelimiter(byte)",-66721,1082185,-2010,13861126
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-73526,73526,-543208,543208
