"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"java.lang.Thread.yield()",3338158,0,6317954,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",973111,32867,95,1
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",820551,878841,-837,1029
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",676007,844488,5775119,5283283
"java.util.concurrent.atomic.AtomicInteger.get()",429220,0,6318178,0
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",336939,368975,5775119,5283283
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",313229,397993,5791987,5266221
"java.io.OutputStream.close()",266417,32813,0,1
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",57197,38273,-932,1028
"java.io.OutputStream.write(byte[ ], int, int)",44770,14262,5121,1460
"java.lang.System.arraycopy(java.lang.Object, int, java.lang.Object, int, int)",19930,15822,6058,1818
"kanzi.io.CompressedOutputStream.processBlock()",6728,4846,31,1
"java.io.ByteArrayOutputStream.<init>(int)",5211,31715,95,1
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",4167,0,3,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",3848,0,32,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",3378,0,96,0
"kanzi.Global.log2_1024(int)",2369,0,18568,0
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",1689,0,386,0
"kanzi.app.BlockCompressor.call()",1315,4588,0,1
"java.util.Map.put(java.lang.Object, java.lang.Object)",1259,0,408,0
"java.io.PrintStream.println(java.lang.String)",949,0,23,0
"java.lang.Integer.numberOfLeadingZeros(int)",869,0,8629,0
"java.util.HashMap.<init>(java.util.Map)",853,0,96,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",841,0,97,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",750,0,2,0
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",741,0,6870,0
"java.util.Map.remove(java.lang.Object)",704,0,106,0
"kanzi.app.InfoPrinter.<init>(int, kanzi.app.InfoPrinter$Type, java.io.PrintStream)",695,0,1,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean)",588,0,386,0
"java.lang.String.equals(java.lang.Object)",519,0,340,0
"kanzi.transform.TransformFactory.getTypeToken(java.lang.String)",495,0,2,0
"kanzi.Global.positiveOrNull(int)",492,0,3895,0
"kanzi.io.CompressedOutputStream.notifyListeners(kanzi.Listener[ ], kanzi.Event)",431,0,384,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",422,0,1,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean, long)",358,0,386,0
"java.lang.Integer.valueOf(int)",345,0,681,0
"java.lang.String.split(java.lang.String)",343,0,1,0
