"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",131314989,0,59457598,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",114660711,0,475660784,0
"kanzi.entropy.CMPredictor.update(int)",56158216,0,475660784,0
"kanzi.entropy.CMPredictor.get()",53099716,0,475660784,0
"java.lang.Thread.yield()",49621803,0,87792474,0
"kanzi.transform.LZCodec$LZPCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",23424610,0,192,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",20710576,0,96,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",20391675,0,180014434,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",14932322,32867,95,1
"kanzi.transform.TextCodec.isText(byte)",9083525,15240674,-321924,100005616
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",7882675,0,96,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",6866161,0,96,0
"java.util.concurrent.atomic.AtomicInteger.get()",6322417,0,87792686,0
"kanzi.transform.LZCodec$LZPCodec.findMatch(byte[ ], int, int, int)",5621434,0,8268445,0
"kanzi.transform.TextCodec.isLowerCase(byte)",3997351,7055582,-321924,100005616
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",3055068,2221062,591182,1170187
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",2729671,0,25032097,0
"kanzi.util.hash.XXHash32.round(int, int)",2645925,0,25000000,0
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",2269261,7787177,230218,23318
"kanzi.entropy.BinaryEntropyEncoder.flush()",1593677,0,6589966,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1288202,0,11408539,0
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",1166503,3320133,2979855,30272617
"kanzi.transform.DivSufSort.swapInSA(int, int)",1143863,4841531,-11317313,62866167
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",774883,1403889,740347,1382349
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",737731,0,6589966,0
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",703453,0,4675287,0
"kanzi.transform.TextCodec.isDelimiter(byte)",591625,1082185,-47007,13861126
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",580961,683166,95,1
"kanzi.transform.DivSufSort$Stack.pop()",295182,404963,1264228,3947293
"kanzi.transform.TextCodec$TextCodec1.expandDictionary()",216706,0,136,0
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",194863,1350314,-1289501,12697965
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",193913,39947,1606656,524288
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",164632,197945,327939,895009
"kanzi.transform.DivSufSort.trIlg(int)",161968,287614,514871,2923260
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",148420,600885,488840,2977117
"kanzi.transform.DivSufSort.trSort(int, int)",131570,232047,95,1
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",120939,243889,295668,2539457
"kanzi.transform.TextCodec$TextCodec1.reset(int)",110635,0,96,0
"kanzi.transform.DivSufSort.ssIlg(int)",106740,89948,538926,879443
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",104588,84152,95,1
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",101881,147014,95,1
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",70421,38273,-932,1028
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",49518,63508,138242,447834
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",40500,73526,153688,543208
"kanzi.transform.DivSufSort$TRBudget.check(int)",39045,109845,-6465,1121148
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",17174,0,19,0
"kanzi.entropy.CMPredictor.<init>()",12203,0,96,0
"java.util.Arrays.fill(int[ ], int)",4428,0,24596,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",4188,0,96,0
"kanzi.transform.DivSufSort.<init>()",3900,0,96,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",3824,0,96,0
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",3789,98096,21308,437100
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",3748,0,5,0
"kanzi.Global.log2_1024(int)",3324,0,18568,0
"kanzi.transform.DivSufSort$StackElement.<init>(kanzi.transform.DivSufSort$1)",2963,0,10752,0
"kanzi.transform.DivSufSort$Stack.<init>(int)",2495,0,288,0
"java.nio.ByteOrder.nativeOrder()",1975,0,14,0
"kanzi.transform.DivSufSort.reset()",1947,0,96,0
"kanzi.transform.BWTBlockCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",1647,0,96,0
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-19026,44027,-158135,335626
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-25563,74951,95,1
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-33215,111359,-262130,535018
