"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"java.lang.Thread.yield()",8429450,0,15286957,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",5816108,0,48,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",2656671,32867,47,1
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",2313703,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",2240456,0,25000000,0
"java.util.concurrent.atomic.AtomicInteger.get()",1127320,0,15287065,0
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",1029373,878841,-933,1029
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",862961,844488,4333252,5283283
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",424969,368975,4333252,5283283
"java.io.OutputStream.close()",382903,32813,0,1
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",379322,397993,4350232,5266221
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",66872,38273,-980,1028
"java.io.OutputStream.write(byte[ ], int, int)",48451,14262,5073,1460
"java.lang.System.arraycopy(java.lang.Object, int, java.lang.Object, int, int)",13065,15822,6006,1818
"java.io.ByteArrayOutputStream.<init>(int)",6768,31715,47,1
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",2926,0,12,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",2348,0,4,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",1923,0,48,0
"kanzi.Global.log2_1024(int)",1537,0,9421,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",1023,0,1,0
"kanzi.Global.positiveOrNull(int)",799,0,3895,0
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",702,0,6678,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",695,0,2,0
"java.lang.Integer.numberOfLeadingZeros(int)",641,0,4912,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",569,0,169,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",476,0,49,0
"java.util.HashMap.<init>(java.util.Map)",440,0,48,0
"java.io.PrintStream.println(java.lang.String)",408,0,7,0
"java.lang.String.split(java.lang.String)",309,0,1,0
"java.lang.Character.valueOf(char)",267,0,1,0
