"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.transform.LZCodec$LZXCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",28616075,0,3052,0
"kanzi.transform.LZCodec$LZXCodec.hash(byte[ ], int)",21669248,0,71345477,0
"java.lang.Thread.yield()",14920182,0,21548776,0
"kanzi.transform.TextCodec.isText(byte)",14614250,15240674,288657,100005616
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",10835243,13464763,3051,1
"kanzi.Memory$LittleEndian.readLong64(byte[ ], int)",9501710,0,71345477,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",8026488,0,3052,0
"java.lang.Math.max(int, int)",6875679,0,47202389,0
"kanzi.transform.TextCodec.isLowerCase(byte)",6662648,7055582,288657,100005616
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",5465426,32867,3051,1
"kanzi.transform.TextCodec$TextCodec2.reset(int)",4106726,30492,3048,1
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",3336608,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",3159890,0,25000000,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",2909969,39947,21331968,524288
"kanzi.bitstream.DefaultOutputBitStream.writeBits(long, int)",2748586,17816,14481212,211095
"kanzi.entropy.HuffmanEncoder.encode(byte[ ], int, int)",2338086,0,3052,0
"kanzi.transform.LZCodec$LZXCodec.findMatch(byte[ ], int, int, int)",2300829,0,4541043,0
"java.util.concurrent.atomic.AtomicInteger.get()",2224297,0,21555316,0
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",1960495,844488,5181466,5283283
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",1847979,0,12920913,0
"kanzi.transform.LZCodec$LZXCodec.emitLiterals(byte[ ], int, byte[ ], int, int)",1404442,0,2305600,0
"java.lang.Math.min(int, int)",1065531,0,7245770,0
"kanzi.transform.LZCodec$LZXCodec.arrayChunkCopy(byte[ ], int, byte[ ], int)",907854,0,6711857,0
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",907294,368975,5181466,5283283
"kanzi.transform.TextCodec.isDelimiter(byte)",762880,1082185,-18460,13861126
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",508944,147014,3051,1
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",452615,462712,125779,4625539
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",435205,878841,2023,1029
"kanzi.entropy.ExpGolombEncoder.encodeByte(byte)",392804,0,1339023,0
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",287493,1039165,-3370093,12697965
"kanzi.entropy.HuffmanEncoder.updateFrequencies(int[ ])",246375,0,5831,0
"kanzi.transform.LZCodec$LZXCodec.emitLength(byte[ ], int, int)",233988,0,1610638,0
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",150676,1350314,-3370091,12697965
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",125385,397993,-400234,5266221
"java.lang.String.format(java.lang.String, java.lang.Object[ ])",119368,6808,9156,1
"kanzi.transform.TransformFactory.newFunctionToken(java.util.Map, int)",105594,3779,9152,4
"java.io.PrintStream.println(java.lang.String)",82674,0,3076,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",76155,0,7,0
"java.util.Arrays.sort(int[ ], int, int)",63424,0,5831,0
"kanzi.bitstream.DefaultOutputBitStream.writeBit(int)",61607,0,476823,0
"kanzi.entropy.HuffmanCommon.generateCanonicalCodes(short[ ], int[ ], int[ ], int)",43730,0,5831,0
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",39394,0,12210,0
"kanzi.entropy.HuffmanEncoder.computeInPlaceSizesPhase1(int[ ], int)",36684,0,5831,0
