"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",102874100,0,74305544,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",90786330,0,594444352,0
"kanzi.entropy.CMPredictor.update(int)",44882081,0,594444352,0
"kanzi.entropy.CMPredictor.get()",41881656,0,594444352,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",12270651,0,3052,0
"kanzi.transform.LZCodec$LZPCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",10257774,0,6104,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",8374719,0,119811255,0
"java.lang.Thread.yield()",6704119,0,12722002,0
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",6183093,0,3052,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",4164848,0,3052,0
"kanzi.transform.LZCodec$LZPCodec.findMatch(byte[ ], int, int, int)",2764457,0,6993106,0
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",2295797,2221062,1638105,1170187
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",2014406,32867,3051,1
"kanzi.transform.TextCodec$TextCodec1.reset(int)",1975552,0,3038,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1642545,0,25023253,0
"kanzi.util.hash.XXHash32.round(int, int)",1604412,0,25000000,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",1419804,39947,21253120,524288
"kanzi.entropy.BinaryEntropyEncoder.flush()",1313990,0,8521996,0
"java.util.concurrent.atomic.AtomicInteger.get()",850727,0,12729124,0
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",791026,683166,3051,1
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",643037,0,9247926,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",593237,0,8521996,0
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",472676,0,4693893,0
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",468044,3320133,12736505,30272617
"kanzi.transform.DivSufSort.ssSort(int, int, int, int, int, int, int, boolean)",242819,6502,1496231,21149
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",205450,147014,3051,1
"kanzi.entropy.CMPredictor.<init>()",194884,0,3052,0
"kanzi.transform.DivSufSort.ssIlg(int)",146118,89948,1576132,879443
"kanzi.transform.DivSufSort$Stack.pop()",137373,404963,1937298,3947293
"kanzi.transform.DivSufSort.<init>()",77261,0,3052,0
"java.util.Arrays.fill(int[ ], int)",76893,0,782330,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",70014,38273,2024,1028
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",62564,0,3,0
"kanzi.transform.DivSufSort$StackElement.<init>(kanzi.transform.DivSufSort$1)",54120,0,341824,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",37707,0,3052,0
"kanzi.transform.DivSufSort$Stack.<init>(int)",34733,0,9156,0
"kanzi.Global.log2_1024(int)",33833,0,407357,0
"kanzi.transform.DivSufSort.reset()",31807,0,3052,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",29326,0,1017,0
"kanzi.transform.DivSufSort$StackElement.<init>()",24447,0,341824,0
"java.util.HashMap.<init>(java.util.Map)",16767,0,3052,0
"kanzi.transform.DivSufSort.trIlg(int)",10444,287614,455824,2923260
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",9770,0,3052,0
"kanzi.transform.BWTBlockCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",9324,0,3052,0
"java.lang.Integer.numberOfLeadingZeros(int)",7261,0,95129,0
"kanzi.io.CompressedOutputStream$EncodingTask.call()",7254,0,3052,0
"kanzi.transform.Sequence.getMaxEncodedLength(int)",6447,0,6104,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",5690,0,21375,0
"kanzi.transform.LZCodec.<init>(java.util.Map)",5285,0,6104,0
"java.lang.Integer.valueOf(int)",5148,0,15269,0
"kanzi.transform.TextCodec$TextCodec1.<init>(java.util.Map)",5044,0,3052,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",4949,0,3053,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",4214,0,21366,0
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",-2090,84152,3051,1
"kanzi.transform.DivSufSort.trSort(int, int)",-3247,232047,3051,1
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",-8214,197945,100538,895009
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-10789,73526,74917,543208
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",-19145,63508,-68624,447834
"kanzi.transform.DivSufSort$TRBudget.check(int)",-19240,109845,-102867,1121148
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-35770,74951,3051,1
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-37100,44027,-264240,335626
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-43035,43035,-1,1
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",-58425,243889,-462387,2539457
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-70099,98096,-254820,437100
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-91865,111359,-436298,535018
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",-92890,368975,-1459616,5283283
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-148983,397993,-1453736,5266221
"kanzi.transform.TextCodec.isDelimiter(byte)",-164116,1082185,-126849,13861126
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",-168286,600885,402514,2977117
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-177571,1403889,907792,1382349
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-246319,246319,-1,1
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-264528,878841,5075,1029
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",-298577,844488,-1459616,5283283
"kanzi.transform.TextCodec.isLowerCase(byte)",-316195,7055582,-587961,100005616
"kanzi.transform.TextCodec.isText(byte)",-433100,15240674,-587961,100005616
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-462712,462712,-4625539,4625539
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",-579934,1350314,-3450158,12697965
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",-869618,1683686,3051,1
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-934500,934500,-2169,2169
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-956931,956931,-1,1
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-1039165,1039165,-12697965,12697965
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",-1171699,1290470,-436271,535262
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",-2462807,2462807,-33678300,33678300
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",-2831974,2831974,-1028,1028
"kanzi.transform.DivSufSort.swapInSA(int, int)",-3215184,4841531,-41591553,62866167
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",-4395372,7787177,1494062,23318
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-13464763,13464763,-1,1
