"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.transform.LZCodec$LZXCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",11031570,0,3,0
"kanzi.transform.LZCodec$LZXCodec.hash(byte[ ], int)",7914228,0,55751973,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",3855183,0,3,0
"kanzi.Memory$LittleEndian.readLong64(byte[ ], int)",3673846,0,55751973,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",3300127,0,41536979,0
"java.lang.Math.max(int, int)",1948163,0,29087022,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1655290,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",1574022,0,25000000,0
"kanzi.transform.LZCodec$LZXCodec.findMatch(byte[ ], int, int, int)",1521674,0,7001084,0
"kanzi.bitstream.DefaultOutputBitStream.writeBits(long, int)",1013512,17816,9544238,211095
"java.lang.Thread.yield()",892950,0,1717517,0
"kanzi.entropy.HuffmanEncoder.encode(byte[ ], int, int)",839203,0,3,0
"java.lang.Math.min(int, int)",696755,0,10352394,0
"kanzi.transform.LZCodec$LZXCodec.emitLiterals(byte[ ], int, byte[ ], int, int)",550785,0,2605729,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",340059,32867,2,1
"kanzi.transform.LZCodec$LZXCodec.arrayChunkCopy(byte[ ], int, byte[ ], int)",320269,0,4645515,0
"java.io.OutputStream.close()",151894,32813,0,1
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",127355,844488,1622289,5283283
"java.util.concurrent.atomic.AtomicInteger.get()",109249,0,1717524,0
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",92087,368975,1622289,5283283
"kanzi.transform.LZCodec$LZXCodec.emitLength(byte[ ], int, int)",87443,0,1344519,0
"kanzi.entropy.ExpGolombEncoder.encodeByte(byte)",87414,0,579676,0
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",83235,147014,2,1
"kanzi.transform.TextCodec$TextCodec2.reset(int)",74723,30492,2,1
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",70909,38273,1279,1028
"kanzi.entropy.HuffmanEncoder.updateFrequencies(int[ ])",57686,0,2304,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",46698,39947,260096,524288
"kanzi.bitstream.DefaultOutputBitStream.writeBit(int)",18619,0,271426,0
"java.util.Arrays.sort(int[ ], int, int)",18044,0,2304,0
"kanzi.entropy.HuffmanCommon.generateCanonicalCodes(short[ ], int[ ], int[ ], int)",11841,0,2304,0
"kanzi.entropy.HuffmanEncoder.computeInPlaceSizesPhase1(int[ ], int)",8079,0,2304,0
"kanzi.entropy.HuffmanEncoder.computeCodeLengths(int[ ], int)",5057,0,2304,0
"kanzi.transform.LZCodec.<init>(java.util.Map)",2622,0,3,0
"kanzi.entropy.HuffmanEncoder.computeInPlaceSizesPhase2(int[ ], int)",2385,0,2304,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",1977,0,1,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",1370,0,1,0
"java.lang.Short.valueOf(short)",1125,0,9,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",696,0,2,0
"java.io.PrintStream.println(java.lang.String)",675,0,14,0
"kanzi.transform.TextCodec.isUpperCase(byte)",508,0,5487,0
"java.lang.String.equals(java.lang.Object)",397,0,367,0
"kanzi.Global.positiveOrNull(int)",395,0,3895,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",384,0,43,0
"java.lang.String.split(java.lang.String)",338,0,3,0
"kanzi.transform.TextCodec.<clinit>()",333,0,1,0
"java.lang.Character.valueOf(char)",317,0,1,0
"kanzi.entropy.ExpGolombEncoder.<init>(kanzi.OutputBitStream, boolean)",273,0,2304,0
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",257,0,2163,0
"kanzi.app.Kanzi.createFileList(java.lang.String, java.util.List)",186,0,1,0
"kanzi.Global.log2_1024(int)",150,0,614,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",119,0,3,0
"java.lang.Integer.numberOfLeadingZeros(int)",108,0,576,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",108,0,4,0
"java.util.Map.keySet()",108,0,1,0
"java.lang.String.getBytes()",84,0,4,0
"java.util.Set.iterator()",83,0,1,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",79,0,23,0
"java.lang.String.startsWith(java.lang.String)",77,0,75,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",73,0,3,0
"java.lang.Boolean.valueOf(boolean)",70,0,13,0
"kanzi.app.Kanzi.printOut(java.lang.String, boolean)",66,0,3,0
"kanzi.app.Kanzi.<clinit>()",48,0,1,0
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-29145,43035,0,1
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-44027,44027,-335626,335626
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-60512,462712,-23256,4625539
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",-63508,63508,-447834,447834
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-73526,73526,-543208,543208
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-74951,74951,-1,1
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",-84152,84152,-1,1
"kanzi.transform.DivSufSort.ssIlg(int)",-89948,89948,-879443,879443
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-98096,98096,-437100,437100
"kanzi.transform.TextCodec.isDelimiter(byte)",-109739,1082185,-1,13861126
"kanzi.transform.DivSufSort$TRBudget.check(int)",-109845,109845,-1121148,1121148
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-111359,111359,-535018,535018
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-178506,1039165,-160877,12697965
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",-197945,197945,-895009,895009
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-223910,397993,-2511093,5266221
"kanzi.transform.DivSufSort.trSort(int, int)",-232047,232047,-1,1
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",-243889,243889,-2539457,2539457
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-246319,246319,-1,1
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",-252924,1350314,-160877,12697965
"kanzi.transform.DivSufSort.trIlg(int)",-287614,287614,-2923260,2923260
"kanzi.transform.DivSufSort$Stack.pop()",-404963,404963,-3947293,3947293
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-459128,878841,-1026,1029
"kanzi.transform.TextCodec.isLowerCase(byte)",-494096,7055582,258,100005616
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",-600885,600885,-2977117,2977117
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",-683166,683166,-1,1
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-788719,13464763,2,1
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-934500,934500,-2169,2169
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-956931,956931,-1,1
"kanzi.transform.TextCodec.isText(byte)",-1146990,15240674,258,100005616
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",-1290470,1290470,-535262,535262
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-1403889,1403889,-1382349,1382349
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",-1683686,1683686,-1,1
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",-2221062,2221062,-1170187,1170187
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",-2462807,2462807,-33678300,33678300
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",-2831974,2831974,-1028,1028
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",-3320133,3320133,-30272617,30272617
"kanzi.transform.DivSufSort.swapInSA(int, int)",-4841531,4841531,-62866167,62866167
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",-7787177,7787177,-23318,23318
