"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",69716864,0,51845974,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",61479955,0,414767792,0
"kanzi.entropy.CMPredictor.update(int)",30313952,0,414767792,0
"kanzi.entropy.CMPredictor.get()",29428477,0,414767792,0
"kanzi.transform.LZCodec$LZPCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",14059836,0,6,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",13613336,0,3,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",12889853,0,186636974,0
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",4187710,0,3,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",3900756,0,3,0
"kanzi.transform.LZCodec$LZPCodec.findMatch(byte[ ], int, int, int)",3561657,0,8849239,0
"java.lang.Thread.yield()",2956214,0,5563418,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1588274,0,25029984,0
"kanzi.util.hash.XXHash32.round(int, int)",1533583,0,25000000,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1138421,0,12572789,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",960170,32867,2,1
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",927732,7787177,-186,23318
"kanzi.entropy.BinaryEntropyEncoder.flush()",806610,0,5521018,0
"kanzi.transform.DivSufSort.swapInSA(int, int)",670424,4841531,12643412,62866167
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",565787,3320133,4625683,30272617
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",432298,0,4605380,0
"java.util.concurrent.atomic.AtomicInteger.get()",384667,0,5563425,0
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",371361,934500,543,2169
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",368137,0,5521018,0
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",308520,74951,2,1
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",292788,1683686,2,1
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",155589,1290470,101133,535262
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",134679,683166,2,1
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",108539,1403889,172660,1382349
"kanzi.transform.TextCodec.isDelimiter(byte)",90174,1082185,-1,13861126
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",88289,600885,536310,2977117
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",78567,147014,2,1
"kanzi.transform.TextCodec$TextCodec1.reset(int)",71290,0,3,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",51964,38273,-1025,1028
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",38660,2221062,24957,1170187
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",22110,39947,260096,524288
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",16400,243889,482589,2539457
"kanzi.transform.TextCodec$TextCodec1.expandDictionary()",15458,0,1,0
"kanzi.transform.DivSufSort$TRBudget.check(int)",14000,109845,266874,1121148
"kanzi.transform.DivSufSort.trIlg(int)",11150,287614,504207,2923260
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",8289,84152,2,1
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",7227,111359,101111,535018
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",6801,197945,133127,895009
"kanzi.transform.DivSufSort.trSort(int, int)",6464,232047,2,1
"kanzi.transform.DivSufSort.ssCompare(int, int, int, int)",4388,0,23898,0
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",2627,63508,70465,447834
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",2587,0,3,0
"kanzi.transform.DivSufSort.ssIlg(int)",2434,89948,120393,879443
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",1861,0,1,0
"kanzi.transform.LZCodec.<init>(java.util.Map)",1049,0,6,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",926,0,1,0
"java.util.Arrays.fill(int[ ], int)",829,0,769,0
"kanzi.transform.DivSufSort.reset()",710,0,3,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",709,0,2,0
"kanzi.entropy.CMPredictor.<init>()",542,0,3,0
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-2127,73526,80593,543208
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-2546,44027,62386,335626
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-6538,98096,62705,437100
"kanzi.transform.DivSufSort$Stack.pop()",-11995,404963,655606,3947293
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-29463,43035,0,1
"kanzi.transform.TextCodec.isLowerCase(byte)",-52922,7055582,258,100005616
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",-165825,1350314,-125176,12697965
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",-187942,368975,-2522754,5283283
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-220208,397993,-2505705,5266221
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-246319,246319,-1,1
"kanzi.transform.TextCodec.isText(byte)",-261114,15240674,258,100005616
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-445634,878841,-1023,1029
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",-459984,844488,-2522754,5283283
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-462712,462712,-4625539,4625539
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-956931,956931,-1,1
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-1039165,1039165,-12697965,12697965
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",-2462807,2462807,-33678300,33678300
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",-2831974,2831974,-1028,1028
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-13464763,13464763,-1,1
