"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.transform.ROLZCodec$ROLZCodec1.findMatch(kanzi.SliceByteArray, int)",19451852,0,36665553,0
"java.lang.Thread.yield()",16697077,0,30976236,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",6893973,0,81643191,0
"kanzi.transform.ROLZCodec.hash(byte[ ], int)",6833424,0,36665553,0
"kanzi.transform.ROLZCodec.getKey(byte[ ], int)",6671133,0,36665553,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",5816188,0,24,0
"kanzi.transform.TextCodec.isText(byte)",5384384,15240674,2963,100005616
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",5069708,32867,23,1
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",4360211,13464763,23,1
"kanzi.transform.ROLZCodec$ROLZCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",3916552,0,24,0
"kanzi.Memory$LittleEndian.readInt16(byte[ ], int)",2961352,0,36665553,0
"java.lang.Math.min(int, int)",2936351,0,36667661,0
"kanzi.transform.TextCodec.isLowerCase(byte)",2575780,7055582,2963,100005616
"kanzi.util.hash.XXHash32.round(int, int)",2274486,0,25000000,0
"java.util.concurrent.atomic.AtomicInteger.get()",2203931,0,30976290,0
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",1392794,2831974,-693,1028
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",1239435,2462807,7779536,33678300
"java.lang.Integer.numberOfTrailingZeros(int)",428219,0,5450258,0
"kanzi.transform.TextCodec.isDelimiter(byte)",368304,1082185,-10,13861126
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",340090,878841,-646,1029
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",318034,844488,1210830,5283283
"kanzi.entropy.EntropyUtils$FreqSortData.compareTo(java.lang.Object)",291410,26083,1535876,166150
"java.util.Collections.sort(java.util.List)",203779,23125,1344,277
"kanzi.entropy.ANSRangeEncoder.encode(byte[ ], int, int)",188409,1390,95,1
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",155018,368975,1210830,5283283
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",140837,1039165,-808517,12697965
"kanzi.entropy.EntropyUtils$FreqSortData.compareTo(kanzi.entropy.EntropyUtils$FreqSortData)",139832,12966,1535876,166150
"kanzi.entropy.ANSRangeEncoder$Symbol.<init>()",131723,0,1591296,0
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",122895,397993,1098689,5266221
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",118110,462712,1533,4625539
"kanzi.entropy.ANSRangeEncoder.encodeHeader(int, int[ ], int[ ], int)",117901,18020,5427,1028
"kanzi.bitstream.DefaultOutputBitStream.writeBits(long, int)",117453,17816,1196042,211095
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",108770,39947,959488,524288
"kanzi.entropy.ANSRangeEncoder.updateFrequencies(int[ ][ ], int)",108254,21152,-693,1028
"java.lang.System.arraycopy(java.lang.Object, int, java.lang.Object, int, int)",106856,15822,614177,1818
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",102093,147014,23,1
"kanzi.Global.computeHistogramOrder1(byte[ ], int, int, int[ ][ ], boolean)",101173,0,96,0
"kanzi.entropy.ANSRangeEncoder$Symbol.reset(int, int, int)",94912,15874,889613,197858
"kanzi.entropy.EntropyUtils.normalizeFrequencies(int[ ], int[ ], int, int)",83846,21187,5427,1028
"kanzi.transform.TextCodec$TextCodec2.reset(int)",73259,30492,23,1
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",72828,1350314,-808517,12697965
"java.io.OutputStream.close()",72342,32813,0,1
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",70527,38273,-693,1028
"kanzi.transform.TextCodec$TextCodec2.expandDictionary()",68136,29214,22,1
"kanzi.transform.ROLZCodec$ROLZCodec1.emitLength(kanzi.SliceByteArray, int)",61909,0,606215,0
"kanzi.transform.ROLZCodec$ROLZCodec1.<init>(int, java.util.Map)",18442,0,24,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",7469,0,24,0
"java.io.ByteArrayOutputStream.toByteArray()",5456,0,24,0
"java.io.PrintStream.println(java.lang.String)",5000,0,120,0
"kanzi.entropy.ANSRangeEncoder.<init>(kanzi.OutputBitStream, int, int, int)",4524,0,48,0
"kanzi.transform.ROLZCodec.<init>(java.util.Map)",3136,0,24,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",2618,0,6,0
"java.io.PrintStream.println(java.lang.Object)",1408,0,26,0
"java.util.ArrayList.<init>(int)",1180,0,1629,0
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",1156,0,98,0
"java.lang.Math.abs(int)",1069,0,6339,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",1053,0,4,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",1039,0,1,0
"kanzi.Global.log2_1024(int)",924,0,4770,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",881,0,24,0
"kanzi.bitstream.DefaultOutputBitStream.writeBit(int)",826,0,6495,0
"kanzi.transform.TextCodec.isUpperCase(byte)",745,0,5487,0
"java.lang.Long.valueOf(long)",738,0,218,0
