"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.transform.ROLZCodec$ROLZEncoder.encode9Bits(int)",53296026,0,35016942,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBit(int)",47389729,0,338709233,0
"kanzi.transform.ROLZCodec$ROLZCodec2.findMatch(kanzi.SliceByteArray, int)",35061750,0,35016798,0
"kanzi.transform.ROLZCodec$ROLZCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",19859049,0,24,0
"kanzi.transform.TextCodec.isText(byte)",12243742,15240674,2963,100005616
"java.lang.Thread.yield()",11668769,0,16368301,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",10661856,0,82976212,0
"kanzi.transform.ROLZCodec.hash(byte[ ], int)",10302223,0,35016798,0
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",10296354,13464763,23,1
"kanzi.transform.ROLZCodec.getKey(byte[ ], int)",10253517,0,35016798,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",7757740,0,24,0
"kanzi.transform.TextCodec.isLowerCase(byte)",5542644,7055582,2963,100005616
"kanzi.transform.ROLZCodec$ROLZEncoder.setContext(byte)",5264118,0,39728269,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",4496577,32867,23,1
"java.lang.Math.min(int, int)",4470213,0,35018425,0
"kanzi.Memory$LittleEndian.readInt16(byte[ ], int)",4430210,0,35016798,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBits(int, int)",4261902,0,4711351,0
"kanzi.util.hash.XXHash32.round(int, int)",2958544,0,25000000,0
"java.util.concurrent.atomic.AtomicInteger.get()",1817621,0,16368353,0
"kanzi.transform.ROLZCodec$ROLZEncoder.setMode(int)",1291505,0,9422750,0
