"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",103407623,0,55761270,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",90907053,0,446090160,0
"java.lang.Thread.yield()",62340676,0,111811843,0
"kanzi.entropy.CMPredictor.update(int)",44945749,0,446090160,0
"kanzi.entropy.CMPredictor.get()",43180451,0,446090160,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",20441493,32867,23,1
"kanzi.transform.LZCodec$LZPCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",19771630,0,48,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",18040487,0,184532239,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",16547424,0,24,0
"java.util.concurrent.atomic.AtomicInteger.get()",8675985,0,111811897,0
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",6182881,0,24,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",5762423,0,24,0
"kanzi.transform.LZCodec$LZPCodec.findMatch(byte[ ], int, int, int)",4731370,0,8432272,0
"kanzi.transform.TextCodec.isText(byte)",3783628,15240674,-248006,100005616
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",2488361,7787177,75853,23318
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",2316916,0,25029317,0
"kanzi.util.hash.XXHash32.round(int, int)",2250977,0,25000000,0
"kanzi.transform.TextCodec.isLowerCase(byte)",1648986,7055582,-248006,100005616
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",1444026,2221062,289267,1170187
"kanzi.transform.DivSufSort.swapInSA(int, int)",1265358,4841531,-92145,62866167
"kanzi.entropy.BinaryEntropyEncoder.flush()",1243493,0,6109258,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1084757,0,12019367,0
