"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",134720337,0,62531291,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",118644879,0,500250328,0
"kanzi.entropy.CMPredictor.update(int)",58609362,0,500250328,0
"kanzi.entropy.CMPredictor.get()",55481493,0,500250328,0
"java.lang.Thread.yield()",48871830,0,84762580,0
"kanzi.transform.LZCodec$LZPCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",22901556,0,382,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",20561732,0,191,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",19712753,0,174428803,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",16307708,32867,190,1
"kanzi.transform.TextCodec.isText(byte)",9002127,15240674,-422585,100005616
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",8001696,0,191,0
"java.util.concurrent.atomic.AtomicInteger.get()",6868039,0,84763001,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",6704829,0,191,0
"kanzi.transform.LZCodec$LZPCodec.findMatch(byte[ ], int, int, int)",5579202,0,8274902,0
"kanzi.transform.TextCodec.isLowerCase(byte)",4068843,7055582,-422585,100005616
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",3459506,2221062,754873,1170187
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",2712326,0,25030206,0
"kanzi.util.hash.XXHash32.round(int, int)",2631597,0,25000000,0
"kanzi.entropy.BinaryEntropyEncoder.flush()",1668393,0,6873536,0
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",1578554,3320133,5512635,30272617
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",1331106,7787177,356042,23318
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1246752,0,10978440,0
