"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.transform.LZCodec$LZXCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",22857040,0,1526,0
"kanzi.transform.LZCodec$LZXCodec.hash(byte[ ], int)",19677079,0,71999602,0
"java.lang.Thread.yield()",15315767,0,25953098,0
"kanzi.transform.TextCodec.isText(byte)",11735296,15240674,196462,100005616
"kanzi.Memory$LittleEndian.readLong64(byte[ ], int)",9031123,0,71999602,0
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",8614805,13464763,1525,1
"kanzi.transform.TextCodec.isLowerCase(byte)",5353054,7055582,196462,100005616
"java.lang.Math.max(int, int)",5265391,0,38130982,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",5122802,32867,1525,1
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",3552952,0,25925127,0
"kanzi.transform.LZCodec$LZXCodec.findMatch(byte[ ], int, int, int)",3368740,0,7921362,0
"kanzi.bitstream.DefaultOutputBitStream.writeBits(long, int)",2333611,17816,12778573,211095
"java.util.concurrent.atomic.AtomicInteger.get()",2246183,0,25956405,0
"kanzi.entropy.HuffmanEncoder.encode(byte[ ], int, int)",1974337,0,1526,0
"kanzi.transform.TextCodec$TextCodec2.reset(int)",1796382,30492,1525,1
"java.lang.Math.min(int, int)",1690191,0,12484558,0
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",1620377,844488,4695917,5283283
"kanzi.transform.LZCodec$LZXCodec.emitLiterals(byte[ ], int, byte[ ], int, int)",1425727,0,3603832,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",1323971,39947,10415104,524288
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",775256,368975,4695917,5283283
"kanzi.transform.LZCodec$LZXCodec.arrayChunkCopy(byte[ ], int, byte[ ], int)",774403,0,6145139,0
"kanzi.transform.TextCodec.isDelimiter(byte)",709254,1082185,-439,13861126
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",379993,147014,1525,1
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",360053,462712,139178,4625539
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",296115,878841,497,1029
"kanzi.entropy.ExpGolombEncoder.encodeByte(byte)",238343,0,876806,0
"kanzi.transform.LZCodec$LZXCodec.emitLength(byte[ ], int, int)",219361,0,1803365,0
"kanzi.entropy.HuffmanEncoder.updateFrequencies(int[ ])",157394,0,3823,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",152187,38273,4321,1028
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",150256,1039165,-3187806,12697965
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",81254,397993,-582620,5266221
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",52776,0,1526,0
"java.util.Arrays.sort(int[ ], int, int)",46543,0,3821,0
"kanzi.bitstream.DefaultOutputBitStream.writeBit(int)",43354,0,353154,0
"kanzi.Global.log2_1024(int)",43064,0,237764,0
