"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.transform.ROLZCodec$ROLZEncoder.encode9Bits(int)",69225408,0,46586640,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBit(int)",59490322,0,443191925,0
"kanzi.transform.ROLZCodec$ROLZCodec2.findMatch(kanzi.SliceByteArray, int)",40184040,0,46577484,0
"java.lang.Thread.yield()",29044400,0,48046260,0
"kanzi.transform.ROLZCodec$ROLZCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",25652298,0,1526,0
"kanzi.transform.ROLZCodec.getKey(byte[ ], int)",13428592,0,46577484,0
"kanzi.transform.ROLZCodec.hash(byte[ ], int)",13258842,0,46577484,0
"kanzi.transform.TextCodec.isText(byte)",12080092,15240674,196462,100005616
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",11611678,0,93372428,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",9991343,32867,1525,1
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",8761673,13464763,1525,1
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",7709647,0,1526,0
"kanzi.transform.ROLZCodec$ROLZEncoder.setContext(byte)",6298564,0,51367547,0
"kanzi.Memory$LittleEndian.readInt16(byte[ ], int)",5783294,0,46577484,0
"java.lang.Math.min(int, int)",5698487,0,46585370,0
"kanzi.transform.TextCodec.isLowerCase(byte)",5450805,7055582,196462,100005616
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBits(int, int)",4263069,0,4782433,0
"java.util.concurrent.atomic.AtomicInteger.get()",3984793,0,48049567,0
"kanzi.transform.ROLZCodec$ROLZCodec2.<init>(int, java.util.Map)",3911672,0,1526,0
"kanzi.util.hash.XXHash32.round(int, int)",3064311,0,25000000,0
"kanzi.transform.TextCodec$TextCodec2.reset(int)",1856625,30492,1525,1
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",1405014,39947,10415104,524288
"kanzi.transform.ROLZCodec$ROLZEncoder.setMode(int)",1344572,0,9567918,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",1228412,0,9764884,0
"java.lang.Integer.numberOfTrailingZeros(int)",753930,0,6205477,0
"kanzi.transform.TextCodec.isDelimiter(byte)",745748,1082185,-439,13861126
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",505590,147014,1525,1
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",387998,462712,139178,4625539
"kanzi.transform.ROLZCodec$ROLZEncoder.reset()",261007,0,1526,0
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",176930,878841,2023,1029
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",152985,1039165,-3187806,12697965
"kanzi.transform.ROLZCodec$ROLZEncoder.<init>(int, int, kanzi.SliceByteArray)",110067,0,1526,0
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",106296,844488,-1004350,5283283
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",97467,38273,498,1028
"kanzi.Global.log2_1024(int)",80888,0,237764,0
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",69244,368975,-1004350,5283283
