"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.FPAQEncoder.encode(byte[ ], int, int)",34664416,0,1526,0
"kanzi.entropy.FPAQEncoder.encodeBit(int, int)",30287406,0,445036712,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",11948866,0,1526,0
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",1969348,2221062,1420731,1170187
"kanzi.transform.SRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",1661785,0,1526,0
"kanzi.entropy.FPAQEncoder.flush()",1169985,0,8230744,0
"kanzi.transform.TextCodec$TextCodec1.reset(int)",929663,0,1517,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",664240,39947,10350592,524288
"java.lang.Thread.yield()",661635,0,1236484,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",655083,0,9466428,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",535753,0,8230744,0
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",512407,683166,1525,1
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",475878,0,4738417,0
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",296938,3320133,12006165,30272617
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",187519,32867,1525,1
"kanzi.transform.DivSufSort.ssSort(int, int, int, int, int, int, int, boolean)",165440,6502,1095454,21149
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",132462,147014,1525,1
"kanzi.transform.DivSufSort$Stack.pop()",124362,404963,2023921,3947293
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",118641,246319,1525,1
"kanzi.transform.DivSufSort.ssIlg(int)",101166,89948,1329987,879443
"java.util.concurrent.atomic.AtomicInteger.get()",87541,0,1240299,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",52646,38273,498,1028
"kanzi.transform.DivSufSort.<init>()",41217,0,1526,0
"java.io.PrintStream.println(java.lang.String)",39628,0,1550,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",38523,0,2,0
"kanzi.transform.DivSufSort$StackElement.<init>(kanzi.transform.DivSufSort$1)",25991,0,170912,0
"kanzi.transform.DivSufSort.trIlg(int)",25035,287614,754567,2923260
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",22540,0,1526,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",22149,0,763,0
