"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.TPAQPredictor.update(int)",417812700,0,590983864,0
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",162026603,0,73872983,0
"kanzi.entropy.TPAQPredictor$Mixer.get(int, int, int, int, int, int, int, int)",153386490,0,590983864,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",148942742,0,590983864,0
"kanzi.Global.squash(int)",141360790,3011,591084580,3895
"java.lang.Thread.yield()",128473039,0,225839728,0
"kanzi.entropy.LogisticAdaptiveProbMap.get(int, int, int)",83996620,0,591195530,0
"kanzi.entropy.TPAQPredictor$Mixer.update(int)",76415744,0,590983864,0
"kanzi.Global.positiveOrNull(int)",62591920,0,580025905,0
"kanzi.entropy.TPAQPredictor.get()",61430758,0,590983864,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",41912658,32867,1525,1
"kanzi.entropy.TPAQPredictor.createContext(int, int)",25660873,0,221618949,0
"kanzi.entropy.TPAQPredictor.getMatchContextPred()",24547075,0,215905041,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",20615468,0,1526,0
"java.util.concurrent.atomic.AtomicInteger.get()",17381572,0,225843086,0
"kanzi.entropy.LogisticAdaptiveProbMap.<init>(int, int)",15482660,0,3052,0
"kanzi.entropy.TPAQPredictor.findMatch()",12930766,0,73872983,0
"java.lang.System.arraycopy(java.lang.Object, int, java.lang.Object, int, int)",12164383,15822,100403025,1818
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",9703354,0,1526,0
"kanzi.entropy.TPAQPredictor.<init>(java.util.Map)",9598363,0,1526,0
"kanzi.transform.TextCodec.isText(byte)",9484787,15240674,-1317510,100005616
"kanzi.entropy.TPAQPredictor.hash(int, int)",8549101,0,73872983,0
"kanzi.transform.TextCodec.isLowerCase(byte)",4386259,7055582,-1317510,100005616
"kanzi.entropy.BinaryEntropyEncoder.flush()",1823840,0,7488379,0
"kanzi.transform.TextCodec$TextCodec1.reset(int)",1627595,0,1510,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1207940,0,9792941,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",1175845,39947,10300416,524288
