"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.TPAQPredictor.update(int)",356108480,0,590983864,0
"java.lang.Thread.yield()",268224025,0,509698924,0
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",135339752,0,73872983,0
"kanzi.entropy.TPAQPredictor$Mixer.get(int, int, int, int, int, int, int, int)",132037220,0,590983864,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",119194759,0,590983864,0
"kanzi.Global.squash(int)",118215665,3011,591084580,3895
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",79191177,32867,1525,1
"kanzi.entropy.LogisticAdaptiveProbMap.get(int, int, int)",72177683,0,591195530,0
"kanzi.entropy.TPAQPredictor$Mixer.update(int)",62179519,0,590983864,0
"kanzi.Global.positiveOrNull(int)",51947704,0,580025905,0
"kanzi.entropy.TPAQPredictor.get()",50389068,0,590983864,0
"java.util.concurrent.atomic.AtomicInteger.get()",33469460,0,509702358,0
"kanzi.entropy.TPAQPredictor.createContext(int, int)",23322882,0,221618949,0
"kanzi.entropy.TPAQPredictor.getMatchContextPred()",22366004,0,215905041,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",17184481,0,1526,0
"kanzi.entropy.LogisticAdaptiveProbMap.<init>(int, int)",12788158,0,3052,0
"kanzi.entropy.TPAQPredictor.findMatch()",11185303,0,73872983,0
"java.lang.System.arraycopy(java.lang.Object, int, java.lang.Object, int, int)",10178363,15822,100403023,1818
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",8266404,0,1526,0
"kanzi.entropy.TPAQPredictor.hash(int, int)",7282683,0,73872983,0
"kanzi.entropy.TPAQPredictor.<init>(java.util.Map)",6220694,0,1526,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",5692482,0,1526,0
"kanzi.transform.TextCodec.isText(byte)",5535149,15240674,-1317510,100005616
"kanzi.transform.TextCodec.isLowerCase(byte)",2490590,7055582,-1317510,100005616
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",2284001,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",2237847,0,25000000,0
"kanzi.entropy.BinaryEntropyEncoder.flush()",1627888,0,7488379,0
"kanzi.transform.TextCodec$TextCodec1.reset(int)",1323906,0,1510,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1032843,0,9792941,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",974636,39947,10300416,524288
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",759333,0,7488379,0
"kanzi.transform.RLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",706929,0,1526,0
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",692917,0,4731119,0
"kanzi.transform.TextCodec.isDelimiter(byte)",190888,1082185,-138058,13861126
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",156294,147014,1525,1
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",156089,38273,2024,1028
"kanzi.entropy.TPAQPredictor$Mixer.<init>()",148545,0,1562624,0
"kanzi.transform.X86Codec.isExeBlock(byte[ ], int, int, int)",112066,0,1526,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",36081,0,4,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",30428,0,1526,0
"kanzi.Global.log2_1024(int)",27605,0,237764,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",19933,0,382,0
"kanzi.transform.RLT.emitRunLength(byte[ ], int, int, int, byte, byte)",16643,0,177054,0
"java.lang.Integer.numberOfLeadingZeros(int)",6284,0,60319,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",6079,0,1526,0
"java.util.HashMap.<init>(java.util.Map)",5221,0,1526,0
"java.lang.Integer.valueOf(int)",4576,0,10691,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",4117,0,13736,0
"kanzi.io.CompressedOutputStream$EncodingTask.call()",3543,0,3052,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",3372,0,7639,0
"kanzi.transform.Sequence.getMaxEncodedLength(int)",3269,0,3052,0
"kanzi.transform.TextCodec$TextCodec1.<init>(java.util.Map)",3187,0,1526,0
"kanzi.Global.log2(int)",2883,0,6088,0
"kanzi.transform.X86Codec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",2360,0,1526,0
"kanzi.entropy.BinaryEntropyEncoder.<init>(kanzi.OutputBitStream, kanzi.Predictor)",2354,0,1526,0
"java.lang.Math.min(int, int)",2190,0,12559,0
"java.lang.String.equals(java.lang.Object)",2163,0,7990,0
"kanzi.io.CompressedOutputStream$EncodingTask._get_skipBlocks(java.util.Map)",1897,0,1526,0
"kanzi.bitstream.DefaultOutputBitStream.close()",1873,0,1527,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",1733,0,1527,0
"kanzi.transform.TextCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",1515,0,1526,0
"java.lang.String.toUpperCase()",1278,0,1537,0
