"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"java.lang.Thread.yield()",17019142,0,32232900,0
"kanzi.transform.LZCodec$LZXCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",11079126,0,2,0
"kanzi.transform.LZCodec$LZXCodec.hash(byte[ ], int)",8054747,0,55345981,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",5230112,32867,1,1
"kanzi.Memory$LittleEndian.readLong64(byte[ ], int)",3779857,0,55345981,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",3682999,0,34562511,0
"java.util.concurrent.atomic.AtomicInteger.get()",2335740,0,32232905,0
"kanzi.transform.LZCodec$LZXCodec.findMatch(byte[ ], int, int, int)",1668263,0,7070564,0
"java.lang.Math.max(int, int)",1639955,0,23835261,0
"kanzi.bitstream.DefaultOutputBitStream.writeBits(long, int)",926000,17816,8766563,211095
"java.lang.Math.min(int, int)",784547,0,10667926,0
"kanzi.entropy.HuffmanEncoder.encode(byte[ ], int, int)",754570,0,2,0
"kanzi.transform.LZCodec$LZXCodec.emitLiterals(byte[ ], int, byte[ ], int, int)",503717,0,2574533,0
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",291100,844488,2554021,5283283
"kanzi.transform.LZCodec$LZXCodec.arrayChunkCopy(byte[ ], int, byte[ ], int)",285432,0,4024945,0
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",172626,368975,2554021,5283283
"java.io.ByteArrayOutputStream.<init>(int)",144119,31715,1,1
"kanzi.entropy.ExpGolombEncoder.encodeByte(byte)",80322,0,537484,0
"kanzi.transform.LZCodec$LZXCodec.emitLength(byte[ ], int, int)",79555,0,1172590,0
"kanzi.entropy.HuffmanEncoder.updateFrequencies(int[ ])",53020,0,2122,0
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",38825,147014,1,1
"java.io.OutputStream.close()",22348,32813,0,1
"kanzi.bitstream.DefaultOutputBitStream.writeBit(int)",18664,0,259473,0
"java.util.Arrays.sort(int[ ], int, int)",17453,0,2122,0
"kanzi.entropy.HuffmanCommon.generateCanonicalCodes(short[ ], int[ ], int[ ], int)",11042,0,2122,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",8819,38273,1094,1028
"kanzi.entropy.HuffmanEncoder.computeInPlaceSizesPhase1(int[ ], int)",6476,0,2122,0
"kanzi.entropy.HuffmanEncoder.computeCodeLengths(int[ ], int)",3797,0,2122,0
"kanzi.transform.LZCodec.<init>(java.util.Map)",2425,0,2,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",2359,0,2,0
"kanzi.entropy.HuffmanEncoder.computeInPlaceSizesPhase2(int[ ], int)",1971,0,2122,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",1683,39947,-1024,524288
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",1457,0,1,0
"java.io.PrintStream.println(java.lang.String)",1432,0,32,0
"java.lang.Short.valueOf(short)",1163,0,6,0
"kanzi.app.InfoPrinter.<init>(int, kanzi.app.InfoPrinter$Type, java.io.PrintStream)",680,0,1,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",665,0,2,0
"kanzi.transform.TextCodec.isUpperCase(byte)",594,0,5487,0
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",582,0,10,0
"java.lang.Long.valueOf(long)",482,0,20,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",459,0,1,0
"kanzi.transform.TextCodec.<clinit>()",410,0,1,0
"java.lang.String.split(java.lang.String)",356,0,3,0
"kanzi.Global.positiveOrNull(int)",333,0,3895,0
"java.lang.Integer.intValue()",287,0,12,0
"kanzi.entropy.ExpGolombEncoder.<init>(kanzi.OutputBitStream, boolean)",238,0,2122,0
"java.lang.String.equals(java.lang.Object)",230,0,334,0
"java.io.PrintStream.println(java.lang.Object)",211,0,4,0
"java.lang.Character.valueOf(char)",208,0,1,0
"kanzi.app.Kanzi.createFileList(java.lang.String, java.util.List)",191,0,1,0
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",181,0,2041,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",128,0,37,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",105,0,3,0
"java.util.Map.keySet()",103,0,1,0
"java.lang.StringBuilder.append(int)",99,0,12,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",85,0,18,0
"java.util.Set.iterator()",83,0,1,0
"java.lang.StringBuilder.append(long)",68,0,23,0
"java.lang.StringBuilder.append(java.lang.String)",65,0,113,0
"kanzi.Event.toString()",60,0,10,0
"java.lang.Integer.valueOf(int)",54,0,29,0
"java.lang.String.getBytes()",53,0,4,0
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-17180,43035,0,1
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-44027,44027,-335626,335626
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-62793,462712,-13620,4625539
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",-63508,63508,-447834,447834
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-73526,73526,-543208,543208
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-74951,74951,-1,1
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",-84152,84152,-1,1
"kanzi.transform.DivSufSort.ssIlg(int)",-89948,89948,-879443,879443
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-98096,98096,-437100,437100
"kanzi.transform.DivSufSort$TRBudget.check(int)",-109845,109845,-1121148,1121148
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-111359,111359,-535018,535018
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-136865,397993,-1347571,5266221
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-158314,1039165,-74456,12697965
"kanzi.transform.TextCodec.isDelimiter(byte)",-181136,1082185,-1,13861126
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",-197945,197945,-895009,895009
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",-228364,1350314,-74456,12697965
"kanzi.transform.DivSufSort.trSort(int, int)",-232047,232047,-1,1
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",-243889,243889,-2539457,2539457
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-246319,246319,-1,1
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-266958,878841,-1027,1029
"kanzi.transform.DivSufSort.trIlg(int)",-287614,287614,-2923260,2923260
"kanzi.transform.DivSufSort$Stack.pop()",-404963,404963,-3947293,3947293
"kanzi.transform.TextCodec.isLowerCase(byte)",-494894,7055582,129,100005616
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",-600885,600885,-2977117,2977117
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",-683166,683166,-1,1
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-809876,13464763,1,1
"kanzi.transform.TextCodec.isText(byte)",-921770,15240674,129,100005616
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-934500,934500,-2169,2169
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-956931,956931,-1,1
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",-1290470,1290470,-535262,535262
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-1403889,1403889,-1382349,1382349
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",-1683686,1683686,-1,1
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",-2221062,2221062,-1170187,1170187
