"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"java.lang.Thread.yield()",32362792,0,60911890,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encode9Bits(int)",24545696,0,31498120,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBit(int)",23165264,0,306080940,0
"kanzi.transform.ROLZCodec$ROLZCodec2.findMatch(kanzi.SliceByteArray, int)",16526924,0,31498108,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",9676415,32867,1,1
"kanzi.transform.ROLZCodec$ROLZCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",9069763,0,2,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",5256206,0,79080734,0
"kanzi.transform.ROLZCodec.hash(byte[ ], int)",4888186,0,31498108,0
"kanzi.transform.ROLZCodec.getKey(byte[ ], int)",4731454,0,31498108,0
"java.util.concurrent.atomic.AtomicInteger.get()",4199148,0,60911895,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",3885819,0,2,0
"kanzi.transform.ROLZCodec$ROLZEncoder.setContext(byte)",2389504,0,36017690,0
"kanzi.Memory$LittleEndian.readInt16(byte[ ], int)",2156911,0,31498108,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBits(int, int)",2122785,0,4519572,0
"java.lang.Math.min(int, int)",2055684,0,31499644,0
"kanzi.util.hash.XXHash32.round(int, int)",1520277,0,25000000,0
"kanzi.transform.ROLZCodec$ROLZEncoder.setMode(int)",605101,0,9039148,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",454808,0,6478710,0
"java.lang.Integer.numberOfTrailingZeros(int)",426035,0,6347253,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",209749,0,2,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",41577,38273,-1026,1028
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",35224,147014,1,1
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",7780,39947,-1024,524288
"kanzi.transform.ROLZCodec$ROLZCodec2.<init>(int, java.util.Map)",3103,0,2,0
"kanzi.transform.ROLZCodec$ROLZEncoder.reset()",1698,0,2,0
"kanzi.transform.ROLZCodec.<init>(java.util.Map)",1483,0,2,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",1446,0,1,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",1079,0,1,0
"java.io.PrintStream.println(java.lang.String)",975,0,26,0
"kanzi.app.InfoPrinter.<init>(int, kanzi.app.InfoPrinter$Type, java.io.PrintStream)",735,0,1,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",734,0,2,0
"kanzi.transform.TextCodec.isUpperCase(byte)",593,0,5487,0
"kanzi.transform.TextCodec.<clinit>()",529,0,1,0
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",483,0,10,0
"kanzi.Global.positiveOrNull(int)",455,0,3895,0
"java.lang.Long.valueOf(long)",397,0,14,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",375,0,37,0
"java.lang.String.split(java.lang.String)",336,0,3,0
"java.lang.String.equals(java.lang.Object)",272,0,364,0
"java.lang.Character.valueOf(char)",222,0,1,0
"kanzi.transform.ROLZCodec$ROLZEncoder.<init>(int, int, kanzi.SliceByteArray)",211,0,2,0
"kanzi.app.Kanzi.createFileList(java.lang.String, java.util.List)",190,0,1,0
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",140,0,1692,0
"java.util.Map.keySet()",103,0,1,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",102,0,3,0
"java.lang.Integer.numberOfLeadingZeros(int)",85,0,388,0
"kanzi.Global.log2_1024(int)",84,0,410,0
"java.util.Set.iterator()",82,0,1,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",80,0,16,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",71,0,2,0
"java.lang.Boolean.valueOf(boolean)",69,0,11,0
"java.lang.StringBuilder.append(java.lang.String)",69,0,57,0
"java.lang.String.getBytes()",55,0,4,0
"java.lang.String.startsWith(java.lang.String)",54,0,75,0
"java.lang.Integer.valueOf(int)",53,0,33,0
"kanzi.app.Kanzi.printOut(java.lang.String, boolean)",49,0,3,0
"kanzi.app.Kanzi.<clinit>()",49,0,1,0
"kanzi.SliceByteArray.<init>(byte[ ], int, int)",43,0,4,0
"java.util.Map.remove(java.lang.Object)",42,0,12,0
"java.lang.Float.valueOf(float)",38,0,1,0
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-15825,43035,0,1
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-44027,44027,-335626,335626
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",-63508,63508,-447834,447834
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-70929,462712,-13620,4625539
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-73526,73526,-543208,543208
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-74951,74951,-1,1
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",-84152,84152,-1,1
"kanzi.transform.DivSufSort.ssIlg(int)",-89948,89948,-879443,879443
"kanzi.transform.TextCodec.isDelimiter(byte)",-95094,1082185,-1,13861126
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-98096,98096,-437100,437100
"kanzi.transform.DivSufSort$TRBudget.check(int)",-109845,109845,-1121148,1121148
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-111359,111359,-535018,535018
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",-155565,368975,-2043916,5283283
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-179335,1039165,-74456,12697965
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-185842,397993,-2026863,5266221
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",-197945,197945,-895009,895009
"kanzi.transform.DivSufSort.trSort(int, int)",-232047,232047,-1,1
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",-243889,243889,-2539457,2539457
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-246319,246319,-1,1
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",-262557,1350314,-74456,12697965
"kanzi.transform.DivSufSort.trIlg(int)",-287614,287614,-2923260,2923260
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-389547,878841,-1022,1029
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",-397942,844488,-2043916,5283283
"kanzi.transform.DivSufSort$Stack.pop()",-404963,404963,-3947293,3947293
"kanzi.transform.TextCodec.isLowerCase(byte)",-543344,7055582,129,100005616
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",-600885,600885,-2977117,2977117
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",-683166,683166,-1,1
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-934500,934500,-2169,2169
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-953408,13464763,1,1
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-956931,956931,-1,1
"kanzi.transform.TextCodec.isText(byte)",-1243051,15240674,129,100005616
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",-1290470,1290470,-535262,535262
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-1403889,1403889,-1382349,1382349
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",-1683686,1683686,-1,1
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",-2221062,2221062,-1170187,1170187
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",-2462807,2462807,-33678300,33678300
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",-2831974,2831974,-1028,1028
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",-3320133,3320133,-30272617,30272617
"kanzi.transform.DivSufSort.swapInSA(int, int)",-4841531,4841531,-62866167,62866167
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",-7787177,7787177,-23318,23318
