"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",66819306,0,51136385,0
"java.lang.Thread.yield()",65117189,0,122726363,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",60048268,0,409091080,0
"kanzi.entropy.CMPredictor.update(int)",29745248,0,409091080,0
"kanzi.entropy.CMPredictor.get()",28623568,0,409091080,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",19914221,32867,1,1
"kanzi.transform.LZCodec$LZPCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",13460831,0,4,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",12789297,0,186993878,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",12739738,0,2,0
"java.util.concurrent.atomic.AtomicInteger.get()",8302914,0,122726368,0
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",3986630,0,2,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",3838755,0,2,0
"kanzi.transform.LZCodec$LZPCodec.findMatch(byte[ ], int, int, int)",3547926,0,8969015,0
"kanzi.util.hash.XXHash32.round(int, int)",1590776,0,25000000,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1586532,0,25031032,0
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",931226,7787177,-5612,23318
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",848119,0,12641192,0
"kanzi.entropy.BinaryEntropyEncoder.flush()",789379,0,5399097,0
"kanzi.transform.DivSufSort.swapInSA(int, int)",681530,4841531,15020389,62866167
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",667021,3320133,6109204,30272617
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",584622,934500,838,2169
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",401197,0,4614359,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",361664,0,5399097,0
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",355118,1683686,1,1
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",323788,1290470,165795,535262
"kanzi.transform.TextCodec$TextCodec1.expandDictionary()",199673,0,1,0
