"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.TPAQPredictor.update(int)",224790714,0,482806256,0
"java.lang.Thread.yield()",183496063,0,348223163,0
"kanzi.entropy.TPAQPredictor$Mixer.get(int, int, int, int, int, int, int, int)",80225188,0,482806256,0
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",79200485,0,60350782,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",69493656,0,482806256,0
"kanzi.Global.squash(int)",67874224,3011,482806388,3895
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",55135111,32867,1,1
"kanzi.entropy.LogisticAdaptiveProbMap.get(int, int, int)",48521240,0,482806318,0
"kanzi.entropy.TPAQPredictor$Mixer.update(int)",37085037,0,482806256,0
"kanzi.Global.positiveOrNull(int)",30094846,0,462700624,0
"kanzi.entropy.TPAQPredictor.get()",29473454,0,482806256,0
"java.util.concurrent.atomic.AtomicInteger.get()",22774571,0,348223168,0
"kanzi.entropy.TPAQPredictor.getMatchContextPred()",17077672,0,241691395,0
"kanzi.entropy.TPAQPredictor.createContext(int, int)",14186381,0,181052346,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",13184590,0,2,0
"kanzi.entropy.TPAQPredictor.findMatch()",11851323,0,60350782,0
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",4923980,0,2,0
"kanzi.entropy.TPAQPredictor.hash(int, int)",4440888,0,60350782,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",4138626,0,2,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1686355,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",1642860,0,25000000,0
"kanzi.entropy.TPAQPredictor.<init>(java.util.Map)",897193,0,2,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",871440,0,12641888,0
"kanzi.entropy.BinaryEntropyEncoder.flush()",753476,0,4897372,0
"kanzi.transform.RLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",661084,0,2,0
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",404328,0,4612720,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",381598,0,4897372,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",153797,0,2,0
"kanzi.transform.X86Codec.isExeBlock(byte[ ], int, int, int)",110517,0,2,0
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",74471,147014,1,1
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",42192,38273,-1026,1028
"kanzi.transform.TextCodec$TextCodec1.reset(int)",39345,0,2,0
"kanzi.entropy.TPAQPredictor$Mixer.<init>()",36940,0,393216,0
"kanzi.entropy.LogisticAdaptiveProbMap.<init>(int, int)",16440,0,4,0
"kanzi.transform.RLT.emitRunLength(byte[ ], int, int, int, byte, byte)",13871,0,177070,0
"kanzi.transform.TextCodec$TextCodec1.expandDictionary()",12900,0,1,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",1703,0,1,0
"kanzi.transform.X86Codec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",1012,0,2,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",814,0,1,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",698,0,2,0
"kanzi.transform.TextCodec.isUpperCase(byte)",526,0,5487,0
"java.lang.String.equals(java.lang.Object)",482,0,354,0
"java.lang.Character.valueOf(char)",372,0,1,0
"java.lang.String.split(java.lang.String)",342,0,3,0
"kanzi.transform.TextCodec.<clinit>()",333,0,1,0
"java.lang.Math.min(int, int)",201,0,1542,0
"kanzi.app.Kanzi.createFileList(java.lang.String, java.util.List)",149,0,1,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",129,0,20,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",110,0,3,0
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",103,0,1279,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",96,0,34,0
"java.lang.String.getBytes()",58,0,4,0
"kanzi.app.Kanzi.<clinit>()",56,0,1,0
"java.lang.String.startsWith(java.lang.String)",55,0,73,0
"java.nio.file.FileSystem.getPath(java.lang.String, java.lang.String[ ])",49,0,2,0
"java.lang.Integer.valueOf(int)",43,0,23,0
"java.nio.ByteOrder.nativeOrder()",38,0,14,0
"java.lang.String.toUpperCase()",37,0,13,0
"java.io.FileInputStream.<init>(java.lang.String)",37,0,1,0
"kanzi.transform.TextCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",36,0,2,0
"java.nio.file.FileSystems.getDefault()",36,0,2,0
"kanzi.transform.TextCodec$TextCodec1.<init>(java.util.Map)",34,0,2,0
"java.util.HashMap.<init>(java.util.Map)",33,0,2,0
"java.lang.Boolean.valueOf(boolean)",33,0,10,0
"kanzi.Global$DataType.<clinit>()",32,0,1,0
"java.nio.file.Path.toAbsolutePath()",31,0,2,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",-3494,39947,-1024,524288
