"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.transform.ROLZCodec$ROLZEncoder.encode9Bits(int)",26511482,0,33751884,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBit(int)",24375538,0,326911091,0
"kanzi.transform.ROLZCodec$ROLZCodec2.findMatch(kanzi.SliceByteArray, int)",17652619,0,33751812,0
"kanzi.transform.ROLZCodec$ROLZCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",9788829,0,12,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",5377170,0,81471794,0
"kanzi.transform.ROLZCodec.hash(byte[ ], int)",5278545,0,33751812,0
"kanzi.transform.ROLZCodec.getKey(byte[ ], int)",5126105,0,33751812,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",3809345,0,12,0
"kanzi.transform.ROLZCodec$ROLZEncoder.setContext(byte)",2614249,0,38380699,0
"kanzi.Memory$LittleEndian.readInt16(byte[ ], int)",2255617,0,33751812,0
"java.lang.Math.min(int, int)",2234030,0,33753393,0
"kanzi.transform.ROLZCodec$ROLZEncoder.encodeBits(int, int)",2160522,0,4628827,0
"kanzi.util.hash.XXHash32.round(int, int)",1536610,0,25000000,0
"kanzi.transform.ROLZCodec$ROLZEncoder.setMode(int)",723035,0,9257678,0
"java.lang.Thread.yield()",550991,0,1023439,0
"java.lang.Integer.numberOfTrailingZeros(int)",470477,0,6460694,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",455598,0,6785911,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",142737,32867,11,1
"java.util.concurrent.atomic.AtomicInteger.get()",75704,0,1023469,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",51141,38273,-1016,1028
"kanzi.transform.TextCodec$TextCodec2.reset(int)",48362,30492,11,1
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",29500,147014,11,1
"kanzi.transform.ROLZCodec$ROLZCodec2.<init>(int, java.util.Map)",19082,0,12,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",16006,39947,250880,524288
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",6219,0,12,0
"kanzi.transform.ROLZCodec$ROLZEncoder.reset()",4033,0,12,0
"java.io.PrintStream.println(java.lang.String)",3070,0,72,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",1774,0,6,0
"kanzi.transform.ROLZCodec.<init>(java.util.Map)",1409,0,12,0
"kanzi.transform.ROLZCodec$ROLZEncoder.<init>(int, int, kanzi.SliceByteArray)",1313,0,12,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",1001,0,1,0
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",880,0,50,0
"java.io.PrintStream.println(java.lang.Object)",864,0,14,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",829,0,2,0
"kanzi.app.InfoPrinter.<init>(int, kanzi.app.InfoPrinter$Type, java.io.PrintStream)",732,0,1,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",629,0,2,0
