"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.FPAQEncoder.encode(byte[ ], int, int)",51555960,0,12,0
"kanzi.entropy.FPAQEncoder.encodeBit(int, int)",42544416,0,324898872,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",25104983,0,12,0
"kanzi.transform.TextCodec.isText(byte)",13493659,15240674,1417,100005616
"java.lang.Thread.yield()",10564877,0,17693326,0
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",8837424,7787177,37251,23318
"kanzi.transform.TextCodec.isLowerCase(byte)",6146474,7055582,1417,100005616
"kanzi.transform.DivSufSort.swapInSA(int, int)",5073244,4841531,4771656,62866167
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",3524379,32867,11,1
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",2703625,2221062,178139,1170187
"kanzi.transform.SRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",2546500,0,12,0
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",2521686,3320133,1886111,30272617
"kanzi.entropy.FPAQEncoder.flush()",1784733,0,6019309,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1637561,0,12269376,0
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",1515367,1403889,451843,1382349
"java.util.concurrent.atomic.AtomicInteger.get()",1475134,0,17693352,0
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",1217630,1683686,11,1
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",758780,0,4603139,0
"kanzi.transform.TextCodec.isDelimiter(byte)",754450,1082185,-5,13861126
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",695629,683166,11,1
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",695344,0,6019309,0
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",652631,600885,522264,2977117
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",630643,1350314,-428589,12697965
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",507991,934500,-455,2169
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",438655,147014,11,1
"kanzi.transform.DivSufSort$Stack.pop()",403890,404963,845498,3947293
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",396526,38273,-1016,1028
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",388823,1290470,-66421,535262
