Non-profiling,Sample-based,Instrumentation-based
21272.000789642334,22703.11107635498,1153475.23355484
20684.473991394043,21977.38471031189,1211782.114982605
20785.362005233765,21681.996488571167,1157460.4706764221
20720.88670730591,21000.467205047607,1173200.8023262024
20962.37850189209,21294.59276199341,1166739.137172699
20517.64702796936,21357.57746696472,1152169.587135315
21026.474237442017,21641.693258285522,1148371.187210083
20765.35940170288,22437.79625892639,1163030.2498340607
20567.42286682129,21042.098903656006,1154039.0710830688
20569.097995758057,21776.3530254364,1182140.067577362
20554.00013923645,21630.340242385864,1175815.720319748
20721.49658203125,21792.492055892944,1170406.9015979767
21222.576141357422,21997.407341003418,1154773.5846042633
20687.466859817505,21763.332271575928,1160105.013370514
20654.284954071045,20906.791591644287,1147670.1221466064
20820.60170173645,22476.454639434814,1187939.5537376404
21101.56226158142,21894.009017944336,1151137.2547149658
20383.61954689026,22095.90735435486,1160779.1197299957
20821.744441986084,21882.031106948853,1149966.4187431335
20659.904956817627,21982.755088806152,1147519.119977951
20700.931072235107,22129.750871658325,1158943.217754364
21085.765838623047,21776.74617767334,1209074.1889476776
20779.160976409912,21793.815517425537,1178125.0076293945
20446.378469467163,21925.663137435913,1184333.5978984833
20760.56694984436,21675.012969970703,1197909.3766212463
21308.844804763794,21878.763341903687,1168417.1347618103
20494.285583496094,21136.009120941162,1177066.0645961761
20834.975719451904,21470.369958877563,1144074.8405456543
20855.16381263733,21845.875883102417,1181253.1025409698
20481.194734573364,21763.043069839478,1186507.9946517944
20913.64312171936,20928.767585754395,1191455.9495449066
20876.776456832886,21754.994773864746,1205828.0668258667
20680.540800094604,21872.317218780518,1209301.619052887
20947.771310806274,21245.417022705078,1163430.777311325
20903.61475944519,21330.289268493652,1162202.2268772125
20649.26028251648,22241.01963043213,1176756.3593387604
20845.242023468018,22069.48938369751,1164188.5163784027
20596.08793258667,22018.993282318115,1175413.8939380646
21141.358375549316,21001.38773918152,1222110.4950904846
20797.38163948059,22138.452672958374,1175100.691318512
20523.32043647766,21787.19940185547,1170496.642112732
20917.448043823242,21714.568519592285,1212295.879125595
20817.157983779907,21770.968103408813,1150773.2918262482
20479.36987876892,21833.122873306274,1185504.5821666718
20904.74271774292,22346.091175079346,1166643.2945728302
21236.704111099243,21754.967832565308,1167568.9828395844
20655.10630607605,21831.34641647339,1176004.7183036804
20970.64185142517,21616.36939048767,1172412.4476909637
20725.51441192627,21758.771800994873,1175315.7930374146
20472.05877304077,21592.4090385437,1177329.8580646515
